stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 24-34,0,0,0.66,0,0,0,0,0,7.29,0,0,0,2.52,0,0,0.62,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,21.11,0,0,0,0,6.39,0,1.41,0,1.4,0,0.56,0,0,0,0,0
 48-58,0,0,0.4,0,0,0,0,0,52.43,0,0,0,3.77,10.76,0.79,5.13,0,0,0,0,1.59,1.52,0,0,0
 60-70,0,0,3.53,3.17,0,1.04,0,0,100.85,0,0,0,2.47,19.04,0,14.85,0.81,0,18.82,1.42,0,13.47,0.81,10.72,0
 72-82,0,0,63.36,12.46,0,1.61,0.5,0,139.4,0,0,1.24,15.73,64.96,0,20.26,0,5.21,8.07,0,0.63,14.92,1.77,22.33,0
 84-94,2.08,0,38.86,4.53,0,3.54,0,0,217.31,0,0,0,7.74,40.89,0.94,1.28,0,0,1.65,0,4.75,50.8,1.06,48.73,0
 96-106,0,0.57,58.09,9.28,0,3.66,2.48,0,203.09,0.81,0,0,23.5,34.35,0,6.11,0,2.22,49.96,6.29,0,61.62,7.05,65.9,0.68
108-118,0,0,42.02,2.42,0,0.81,2.89,1.39,183,0,0.64,4.66,31.06,44.46,3.79,26.91,0,0,119.75,0,3.44,15.1,6.38,62.06,0.79
120,0,9.69,31.29,0,1.41,4.04,19.36,13.39,779.37,0,0,0,54.85,239.88,0,10.3,0,0,33.12,0,4.78,39.23,12.84,153.79,2.34
