stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,30.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.59,43.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.61,0,0,0,7.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14,0,0,0,9.17,0,0,0,0,7.48,0,0,0
 14-21,0,0,1.38,0,3.54,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,4.73,0,0,0,12.96,0,0,0,0,0,2.22,1.13,0,0,3.39,0,0
 24-34,0,0,0,0,4.77,0,0.77,0,0.85,0,0,1.88,0,0,0,0,0,0,0,1.29,0,0,1.87,61.39,0,0,0,0,3.73,0,1.54,0,0,7.12,3.66,0
 36-46,0,0,0,0,0,0,4.14,0,0,1.13,0,0,0,0,0,5.9,0,0,0,11.88,0,0,0,55.66,1,3.25,0,0,5.59,0,0.67,0,0,13.88,3.21,1.19
 48-58,0,0,0,0,6.29,0,11.6,0,0,0,3.79,0,0,0,2.75,0,0,0,1.22,4.96,1.44,0,0,52.71,0.56,1.13,0,0,9.16,0,0,0,0,14.04,6.81,0
 60-70,0,0,0,0,7.05,0,33.2,0,0,0,8.62,0,0,0,0,0,0,0,18.55,3.54,0,1.73,0,70.53,1.69,0,0.89,0,0.7,0,1.12,3.94,0,15.81,0,0
 72-82,0,0,0,0,4.2,4.28,46.75,0,2.77,0,3.58,0,0,0,0,0,0.92,0,0,13.33,0,2.05,0,41.27,0,2.23,2.88,0,3.19,0,0,0,0,10.4,12.23,7.28
 84-94,0,0,0,0,2.04,0,19.73,0,1.78,1.03,4.56,0,0,0,3.2,0.74,3.6,0.88,0,3.18,0,0,0.66,22.78,0,1.84,5.91,0,15.29,0,0.56,0,0,7.2,2.83,0
 96-106,0,0,1.15,0,1.11,4.69,17.88,0,0,0,0,0.98,0,0.66,0,0,0.74,0,2.33,16.69,0,0,0,25.56,0.62,0,0.98,0,14.92,0,0,0.84,0,0,0.96,0.72
108-118,0,0,0,0,3.4,8.18,10.71,0.64,0.78,0,1.28,0.45,0,0,0,3.38,0,0,0,6.45,0,0,2.19,24.42,0,2.47,0,0,8.63,0,0,0,0,0,1.36,0
120,0,0,0,0,25.14,0,30.6,0,1.19,0,0,0,0,0,0,8.45,0,1.08,0,9.26,0,0,0,40.16,2.47,4.03,3.16,0,11.43,0,0,0,0,0,0,6.17
