stage,blastomeres,endoderm,eye,gut,immune,mesenchyme,neural,paraxial.mesoderm,presomitic.mesoderm,vascular.smooth.muscle
  5-6,46.19,0,0,0,0,0,0,0,0,0
  7-9,0,3.75,11.07,0,0,0,15.27,0,0,0
 10-12,0,0,0,0,0,0,0,3.95,0,0
 14-21,0,0,0,0,0,0,0,0,1.03,0
 36-46,0,0,0,0,0.89,0,0.86,0,0,0
 48-58,0,0,1.39,0,6.24,0,1.32,0,0,0
 60-70,0,0,0,0,20.54,0,0,0,0,0.57
 72-82,0,0,0.97,0,21.36,0.53,1.54,0,0,0
 84-94,0,0,0,0,36.9,0,0,0,0,0
 96-106,0,0,0,1.4,48.34,0.79,0,0,0,0
108-118,0,0,0,0,32.16,0.76,0,0,0,0
120,0,0,0,1.2,83.66,0,0,0,0,0
