stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.26,102.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,97.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0,26.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.62,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.66,36.97,9.79,3.15,0,0,0,0,1.08,0,0,0,1.18,0,0,0,0,26.54,0,0,12.18,68.13,0,2.18,2.79,0,6.46,15.12,2.24,11.7,47.69,15.82,0,0,0,0,0
 24-34,0,0,0,0,6.11,2.11,1.59,0,0.73,0,0.9,0,0,1.22,0,2.24,0,0,0,0,9.5,0,0,7.69,15.22,6.94,0,0,0,0.9,0,2.86,0.95,0.66,4.1,0,0,4.28,0,0.73
 36-46,0,0,0,0,18.94,4.52,11.63,2.03,2.41,0,22.9,0,0,8.41,0,0,0,0.74,0,0,22.5,0,0,2.26,26.3,1.56,0.84,0,0,9.44,0,1.33,0,0,5.13,0,0,0.85,0,0
 48-58,0,0,0,0,5.35,6.95,13.73,2.61,2.14,0,1.62,0,0,2.3,0,0.79,0,1.44,0.37,0.43,21.85,0,0.53,6.76,38.31,1.6,0,0,0,2.37,0,0,1.28,0,4.37,0,0,0,0.78,0
 60-70,0,0,0,0,5.88,118.54,33.9,1.62,2.03,0,6.33,0,0,0.6,0,0,0.85,0,2.74,0,49.4,0,1.59,2.81,39.47,1.41,3.5,0,0,6.61,0,0,0,0,9.02,0,0.8,0,0,0.79
 72-82,0,0,0,0,11.93,13.72,63.02,2,0,0,19.2,1.46,0,1.96,0,0,0,0,0,0,33.05,0,0,1.1,17.45,0,2.73,0,15.36,4.42,0,0.49,2.31,0,3.58,0.53,1.01,3.08,0,0
 84-94,0,0,0.8,0,3.09,48.52,63.07,0.98,7.1,0,11.8,0,0,0.88,0,3.3,0,0,0,2.54,34.52,0,0,4.69,121,0,7.1,0,0,9.52,0,0,0,0,2.72,2.8,2.13,0,0,0.59
 96-106,0,0,0,0,6.58,36.13,50.95,0,0,0,44.87,7.65,0,2.82,2.96,8.1,0,3.94,43.55,1.95,80.11,5.16,5.81,5.79,43.55,3.44,25.01,0,1.03,3.33,0,0.78,0,0,0,0,0.75,2.37,0.81,0
108-118,0,0,0,0,32.14,63.12,271.93,2.28,3.57,0.99,176.23,5.94,0,1.12,3.53,13.82,1.58,8.96,5.47,18.63,165.63,0,8.92,40.12,674.54,9.29,71.49,0,10.11,11.32,0,21.7,0,0,11.42,29.95,0.75,3.06,5.41,0
120,0,0,0,0,12.98,50.43,110.83,0,6.84,0,77.1,0,0,1.15,5.1,0,0,0,0,0,69.05,0,9.77,17.79,127.93,0,43.37,0,0,0,0,2.43,0,0,5.35,0,8.67,0,9.6,0
