stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,88.01,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892.32,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,538.84,0,0,0,26.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12753.66,19.14,0,0,118.47,0,8.47,0,0,0,0,0,0,0,0,0
 14-21,0,1.7,4963.2,5.88,0,7.51,0,29.8,0,0,0,6.16,0,0,27.77,0,2.26,0,0,6.6,12.51,0,0,97.17,2.66,3.39,1.14,0,0,13.5,5.58,1.04,0,6.59,4.33,0,0,0,0
 24-34,0,7.95,2880.95,0,0,9.72,0,238.05,0,1.7,0,0,0.86,0,6.18,0,26.72,0,0,0.74,17.51,0,1.46,210.93,0,5.22,3.33,0,0,17.12,0,0,0.88,0,21.33,0,0,5.15,0
 36-46,0,0.94,1271.12,10.47,0,7.99,3.06,233.46,0,2.63,0,0,0,0,13.85,0,28.93,0,0,10.94,9.47,0,0.88,118.06,1.06,5.16,0,0,0,27.3,0,1.02,0,0,14.6,0,0.85,0,13.86
 48-58,0,0,801.04,0,0,22.06,0,268.35,0.43,2.78,0,0,0,0.58,0.98,3.3,29.95,0,7.25,3.82,4.3,0,2.01,104.52,0,3.25,5.87,0,0.39,8.15,0,0,0,0,13,0,0,1.13,4.28
 60-70,0,0,654.08,0,0,41.99,0,127.93,1.25,3.87,1.09,0,0,0,3.75,0,18.04,0,0,28.71,3.57,0,1.72,61.55,3.13,1,7.11,0,0,5.36,0,0,0,0,5.1,0.74,0,0,0
 72-82,0,0,475.01,0,0,6.25,0,165.35,0,8.15,2.38,2.07,1.07,0,15.16,0,31.41,0,0,3.19,0.58,1.09,0,15.75,0,5.32,1.06,0,0,1.56,0,0,0,0,4.4,3.85,1.01,1.34,1.38
 84-94,0.62,0,720.87,0,0,9.64,0.68,165.2,9.99,1.7,1.23,0,0,0,14.96,0.62,32.96,0.88,0,4.58,3.15,0,1.71,44.3,0,7.98,1.03,0,0,33.4,0,0,0,0,4.2,12.54,0,0,0
 96-106,0,0,517.36,0.71,1.05,5.86,0,104.14,0,3.1,13.73,0,0,0.75,15.26,0,46.74,0,0,1.02,0.6,4.23,0,48.74,0,9.96,0.65,0,0,7.9,0,0,0,0,0,3.1,2.45,0,0
108-118,0.83,0,568.01,0,0,7.42,0,119,0.73,10.34,14.88,0,0,0.47,18.69,0,38.72,0,0,3.11,6.25,0,0.7,32.95,0,10.09,1.3,0,0,3.01,0,1.98,0,0,1.67,14.7,0,0.65,0
120,0,0,346.45,1.68,0,11.71,0,98.98,0,0,7.93,0,0,0,6.79,0,10.94,0,0,10.18,4.99,0,0,69.54,0,0,15.81,0,0,1.51,0,0,0,0,0,2.25,0,7.1,0
