stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,3.51,0,9.6,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,6.62,0,0,0,0,2.8,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0.73,0,0,46.72,0,0,13.98,0,0,0,0.67,9.74,0,0,0,1.01
 36-46,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,1.41,0,0,117.25,0,0,9.43,0,0,0,0,11.28,0,0.61,0,0
 48-58,0,0,0,5.39,0,9.29,0,0,0,10.43,0,0,0,0,1.74,1.34,0,0,150.85,0.39,0.59,3.33,0,0,0,0,18.62,0,0,0,0
 60-70,0,0,0,4.47,0,25.75,0,8.39,0,22.63,1.43,0,0.67,0,0,0.65,0.82,0.79,294.28,0,0,0.69,0,0,0,0,27.61,0,0,0,0
 72-82,0,0,0,0,0,42.59,5.64,0,0,8.44,0,0,0,0,0,3.05,0,0,377.14,1.43,0,0,0,0,0,0,26.2,0,0.6,0,1.17
 84-94,0,1.16,0,0.66,0,39.08,0,0,0,13.76,0,0,0,1.81,0,11.23,0,0,302.46,0,0,0,0,3.86,0,0,17.99,0,0,0,0
 96-106,0,0,0,0,5.2,37.65,0,0,0,23.26,0,0,0.75,0,0,0,0,0,340.72,0,0,0,0,3.88,0,0,13.51,0,0,0,0
108-118,0,0,0.74,3.66,0,55.58,0,0,0.88,23.75,0,1.3,0,0,0,5.77,0,0,425.55,0,1.88,1.43,0,0,0,0,7.99,0,0.55,1.03,0
120,0,0,0,1.09,0,100.64,0,0,0,64.52,0,0,0,0,0,2.84,0,1.9,1026.72,0,0,0,0,0,2.43,0,13.49,2.09,0,0,0
