stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,57.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.84,169.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.25,0,0,0,8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,176.88,0,0,0,57.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.07,0,0,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,144.31,5.66,0,0,28.23,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.05,7.58,1.07,0,2.73,0,1.13,0,0,0,0,0,0,0,0.9,0,0,0.94,36.22,0,0,0.8,1.86,0,0,0,4.63,4.74,7.38,0,0,0,0
 24-34,0,0,0,1.04,4.25,2.45,0,13.4,0.64,0.6,0,1.33,0,0.68,0,0,0.67,4.76,0,0,0.81,85.13,0,3.01,0,0,0,15.79,0,0,0,17.25,0,0,0.81,0
 36-46,0,0,0,0,2.32,0,0,29.09,0,2.22,0.56,2.07,0.71,7.08,0,0,0,2.55,0,2.04,1.61,43.28,1.36,1.27,1.05,0,0,1.38,0.81,0,0,9.03,0,0,3.1,0
 48-58,0,0,0,0,3.94,1.25,0,76.23,0,4.27,3.8,0,9.04,8.57,1.9,0,0.66,2.39,7.75,0.47,0,83.57,0,0.65,0,0,0,3.97,0,0,0,12.75,0,0,0,0
 60-70,0,0,0,0,5.74,0,0,92.09,7.22,0.82,1.71,0.69,0.6,0,0,0,0,8.69,8.75,0,0,48.01,0,1.86,0,0,0,6.6,0,0,0,3.66,0,0,3.04,0
 72-82,0,0,0.76,0,4.92,0,0.76,87.01,1.16,3.74,1.5,1.59,5.71,0,0,1.06,0,14.51,2.74,0,0,111.7,1.06,3.56,0,0,0,10.01,0,0,0,11.57,0,0.49,1.05,0
 84-94,0,0,1.05,0,2.54,0,0,39.79,0,0.73,1.16,0,3.64,0.79,0,0,0,13.29,3.45,0,0,28.91,2.43,4.24,0.58,0,0,4.75,0,0,0,0,0,0,0.57,0
 96-106,0,0,0.81,0,7.44,10.64,0,26.13,0,3.8,3.29,5.73,8.13,0.83,0,0.97,0,3,3.81,0.93,1.21,39.96,0.62,10.17,1.28,0,0.83,25.98,0,0,0,0,4.06,0,1.1,0.61
108-118,0,0,0,0,3.95,1.74,0,35.28,0.93,6.19,0,0,2.12,0.67,0,0,0,9.99,0,0,2.52,37.78,1.65,5.11,0,0,0,21.69,0,0,0,0,0,0.53,2.05,0
120,0,0,0,0,0,1.3,0,30,0,0,1.74,0,5.64,0,0,0,0,2.06,1.1,0,0,19.9,1.03,4.09,0,0,0,16.36,0,0,0,0,1.63,0,0,0
