stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,15.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,220.24,0,0,73.09,0,0,0,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,36.85,164.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.19,0,133.55,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,213.41,302.63,0,20.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,78.98,61.72,0,0,0,0,0,1.51,0,0,0,0,0,1.15,2.35,0,0,0,62.51,111.77,0,0.87,0,0,3.89,1.38,2.09,467.11,0,0,0,0,0
 24-34,0,0,7.83,80.72,70.78,0,0,8.21,0,0,2.55,0,0,0,0,0,4.3,1.44,0,0,0,414.26,25.34,0,0,0,0,0,0,0,516.11,0,0,0,0,0
 36-46,0,0,1.7,9.76,34.93,0,0,2.8,0,0,4.84,0.67,1.64,0,0,0,5.33,4.85,0,0,0,439.85,34.19,0,0,0,0,0,0,0,343.54,0,0,0,0,0
 48-58,0,0,2.52,5.09,31.45,0,0,12.15,0,0,8.45,7.9,0,0,0,0,5.49,8.64,0,0,0.78,254.9,20.42,0,0,0,0,0,0,0,247.46,0,0,0,0,0
 60-70,0,0,18.28,0,40.57,0,0,22.64,0,0,23.29,32.73,0,0,4.97,0,13.72,5.53,0,0,0,218.6,22.35,0,0,0,0,0,0,0,176.86,0.61,0,0,0,0
 72-82,0,0,52.12,1.75,53.45,0,0.55,22.41,0,1.32,52.95,102.88,0,0,0,0,10.44,4.28,2.69,0,0,156.64,3.49,0.93,0,0,1.16,0,0,0,154.9,21.99,0,0,1.45,6.97
 84-94,0,0,68.11,4.06,67.69,0,2.25,24.18,0,0.75,65.01,126.95,0,1.25,2.34,1.25,21.79,1.98,0,4.3,1.36,95.72,23.64,0,0,0,1.19,0,0,0,154.29,32.48,0,0,0,0
 96-106,0,0,61.5,4.39,66.53,0,1,30.3,0.78,1.45,42.53,205.72,0,0,1.48,0,45.92,1.55,5.62,0,0.8,145.16,13.99,2.64,0,1.36,1.39,7.65,0,0,338.19,93.83,1.82,0,0,1.61
108-118,0,0,62.03,3.05,54.29,4.03,1.34,23.45,0,0,45.63,187.13,0,0,2.55,0.49,53.12,5.33,11.94,0,0,173.19,13.78,0,0,1.22,3.86,0,0.46,0,196.23,116.38,1.82,2.2,0,2.08
120,0,0,24.13,4.41,69.7,0,0,15.56,0,0,43.4,186.97,0,0,0,1.69,35.3,7.94,1.59,0,0,237.63,48.99,12.86,0,7.36,0,0,0,0,169.59,66.32,0,0,0,0
