stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,slow.muscle,somites,spinal.cord
  3-4,78.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,65.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,24.81,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.09,0,0,0,0,13.67,0,0,0,46.41,17.9,0
 24-34,0,0,0,0,1.82,1.64,0,0,0,3.08,63.66,0,0,2.46,24.76,35.87,0.75
 36-46,0,0,0,0,0,0.78,0,0,0,0,45.26,1.69,0,0,0.66,0,1.81
 48-58,0,0,0,13.54,0,4.64,0,0,0,0,41.56,0,0,1.42,0.39,0,7.14
 60-70,0,0,0,0,0,25.22,6.22,0,0,0,39.87,0,0,0,1.34,0,19.82
 72-82,0,0,0,7.48,0,45.66,0,0,1.69,0,14.13,0,0,0.83,0,0,3.13
 84-94,0,0,0,2.17,4.1,36.86,0.76,0,0.81,0,12.13,0,1.1,2.38,1.43,0,8.93
 96-106,0,1.03,0,0,2.25,30.55,0,0,4.68,0.92,16.44,0,0,0.63,0,0,5.64
108-118,0,0,0.76,9.92,1.97,34.94,0,0,1.08,7.21,26.03,0,0,1.96,1.8,0,5.42
120,0,0,0,3.12,0,77.91,1.56,11.74,0,0,52.1,0,0,0,0,0,3.95
