stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,106.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,14.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.95,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,10.16,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969.56,0,0,0,20.68,0,4.05,0,0,0,0,3.11,0,0,0,0,0,0
 14-21,0,0,0,0,72.98,70.29,3466.73,0,0,0,7.74,0.81,0,0,0,0,0,1.04,2.09,791.57,0,0,755.2,4657.23,1.23,0,0.95,0.95,0,7.87,0.91,25.42,0,8.26,28.61,117.46,0,0,0,0,0
 24-34,0,0,0,0,26.73,3.96,1910.32,0,0,0,33.93,0,5.58,0,0.71,2,0,1.58,3.78,2263.17,0,0.81,774.65,2939.48,0.7,2.38,0,6.98,2.91,6.56,0,8.31,0.64,9.16,11.49,146.51,0,0,10.03,0,0.93
 36-46,0,0,0,0,11.32,0,1192.1,0,0,6.08,77.62,0,1.43,0,0,0,0,0,0,1856.86,0.58,1.08,653.8,1382.37,1.86,5.74,0,0,0,8.94,0,6.08,0,0,1.5,44.63,0,9.52,0,0,2.93
 48-58,0,0,0,0,9.38,0,1005.65,0,0,12.74,97.62,0,0.59,0.85,0.61,0,0,1.02,0,2091.56,0,7.09,378.59,760.11,0.44,1.93,0.67,0,0,15.24,0.65,0,0.38,0.98,0,46.39,0,6.35,1.31,0,4.02
 60-70,0.81,0,0,0,11.14,0,1193.08,0,0,5.6,63.95,0,0,3.99,0,0,0,0,0,1830.89,0,1.74,253.41,369.51,0,0,0,0,7.38,4.16,0,0,0,0,0,11.02,0,10.95,4.17,0.87,1.05
 72-82,0,0,0.71,0,17.79,0,831.67,9.39,1.27,23.83,159.77,0,0,0,0,0,0.72,0,0,2204.13,0,22.91,182.77,329.67,2.68,0,0,0,17.68,2.01,0,0,0,0,0,16.82,2.39,21.5,1.79,4.15,9.12
 84-94,0,0,0,0,13.94,1.8,839.2,4.09,0.63,23.07,68.43,0,2.91,5.22,4.19,0,0.73,0,0,2054.39,0,18.93,144.83,244.12,0,0.91,0.79,0,0.77,2.96,0,0,0,0.68,0,5.37,0,10.15,0,8.29,0.66
 96-106,0,0,0,0,34.31,6.23,855.83,0.68,5.38,6.39,84.02,3.1,0,4.62,2.29,5.53,0.92,1.8,0.94,1958.5,7.6,19.31,95.89,351.1,1.05,2.58,0,0,23.91,6.3,0,0,0,0,0,7.67,0,21.72,0,7.71,0
108-118,0,0,0,0,13.56,1.3,832.11,0,1,14.75,143.83,1.03,0,1.54,2.35,0.7,0.81,0,0,2352.29,0.53,8.05,95.88,423.6,0,5.51,2.91,0,40.26,6.85,0,0,0,0,0,4.03,0,16.62,7.08,1.79,0
120,0,0,0,0,6.94,13.46,546.77,0,0,0,116.18,0,0,0,6.51,0,2.64,13.18,0,1669.29,0,11.82,101.92,423.11,0,0,0,0,14.47,1.26,0,0,0,0,0,0,0,43.66,0,0,0
