stage,blastomeres,endoderm,eye,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,spinal.cord
  3-4,18.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.77,0,0,0,0,0,0,5.66,0,4.57,0
 10-12,5.04,8.04,8.88,0,0,0,0,0,59.2,0,14.13,0
 14-21,0,0,0,0,0,0,0,0,2.47,0,0,1.87
 24-34,0,0,0,0,0,0,0,0,12.73,0.61,0,7.65
 36-46,0,0,0.76,0,0,0,0,0,27.74,0,0,2.92
 48-58,0,0,3.94,0,0.48,1.12,0,0,19.57,0,0,2.63
 60-70,0,0,10.51,0,1.64,2.41,1.79,0,17.25,0,0,1
 72-82,0,0,0,0,0,0.78,0,0.81,4.66,0,0,0
 84-94,0,0,11.79,0,0,2.22,0,0,1.69,0.57,0,0
 96-106,0,0,0.95,0,0,0,0,0,6.23,0,0,0
108-118,0,0,0,0,0,2.03,0,0,0,0,0,0
120,0,0,0,3.86,0,2.1,0,0,33.44,0,0,0
