stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.75,89.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92,0,0,0,0,0,0,0,0,0
  5-6,0,43.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.48,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.95,0,0,0,10.44,0,33.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,24.55,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.08,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0.81,1.2,0,0,0,0,0,0
 24-34,0,0,0,0,0.67,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,1.6,0,0.83,9.38,0,0.75,0.67,0,0,10.69,1.03,0,0,1.06,0,0,3.16,0,0
 36-46,0,0,0,0,3.28,0,0,2.48,0,0,1.35,0,0,0,1.48,0,0,0,2.08,0.77,0,0,23.53,0,3.48,0,0,0,18.44,0,0,0,1.2,0,0,0.87,0,3.59
 48-58,0,0,0,0,7.91,0,0,6.02,2.39,0,0.64,0,0,0,0,0,0.41,0,1.18,0.92,0,0.59,29.84,0,3.35,0,0,0,11.74,0,0,0,1.16,0,0,0.4,0,0
 60-70,0,0,0,2.79,4.75,0,0,4.39,4.31,0,3.63,0,0,0,0,4.06,0,1.33,2.95,0,5.29,0,22.99,0,4.82,0,0,0,31.66,0,0,0,0,0,0,0.67,0,0
 72-82,0,0,0.87,0,7.68,12.34,0,3.8,1.86,0,2.94,3.56,0,1.58,0,0,1.04,2.04,3.46,2.06,1.21,0.94,63.05,0,10.65,0.56,0,0,13.88,0,0,0,0,3.21,0,0.58,1.06,0.62
 84-94,0,0,7.57,0,3.11,8.65,0,2.05,1.64,0,10.3,6.76,0,5.2,0,0,2.95,0.68,8.94,1.21,2.07,0,5.65,0,2.59,0.65,0,0.6,43.21,0,0,0,0,2,1.88,0,0,4.02
 96-106,0,0,1.41,0,5.18,2.76,0,1.52,0.82,0.62,13.71,11.4,0,5.99,5.54,0,2.78,4.23,12.03,8.21,5.34,0,25.07,0,10.81,0.98,0,0,45.15,0,0.7,0,0,3.01,2.7,2.94,0,0
108-118,0,0,0.41,0,7.96,3.61,4.84,7.76,2.3,4.7,2.64,14.42,0,5.73,3.29,0,0,13.97,10.61,1.55,2.37,0.76,3.23,0,0,2.4,0,0,24.73,0,0,0,1.02,0,0,0.72,0,6.33
120,0,0,0,0,11.75,15.94,2.19,0,6.1,0,22.75,24.05,0,9.73,0,0,3.39,1.4,10.11,0,0,0,16.28,4.5,12.85,1.25,0,0,49.58,0,0,0,0,3.57,0,2.4,0,0
