stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,936.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.5,216.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,13.54,0,0,0,0,0,0,0,0,0,0
  7-9,37.1,6.15,0,27.83,0,0,0,27.59,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,122.23,16.43,0,0,50.64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.12,0,62.01,0,0,0,70.32,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,676.33,40.5,0,0,84.05,0,3.07,0,4.63,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,10.73,32.38,4.79,0,8.54,0,0.95,0,3.53,3.62,14.15,1.15,0,0,0,0,5.81,0,15.72,0,0,17.39,252.26,1.79,0,9.66,0.86,0,1.33,7.31,1.28,1.86,22.44,97.86,0,0,12.19,0,0
 24-34,0,0,1.26,0,17.37,7.27,0,30.75,0,3.66,0.61,17.46,0.68,0.67,2.16,1.44,0,0,0.71,4.63,0,60.09,0.93,0,21.82,1721.62,11.14,32.06,5.59,0,0,16.64,1.5,1.59,0.95,4.84,262.8,0,0,33.92,0,2.51
 36-46,0,0,0,0,9.92,0.6,0,86.95,0,0,1.42,55.06,0,0,1.84,0.98,0,0,1.75,0,19.89,51.85,0.58,0,16.91,2267.92,0,35.58,3.55,0,0,9.95,1.78,4.63,1.12,0,275.92,0,0.85,33.53,0,0
 48-58,0,0,0.46,0,10.18,0.68,0,301.92,1.76,2.39,1.2,105.01,0.71,0,3.02,0.95,0,0,1.16,1.98,3.23,44.62,0.53,1.4,10.25,1845.54,4.46,15.96,1.78,0,0.47,7.89,0,0.37,0,0,286.8,0,0,22.84,0,0.62
 60-70,0,0,0,0,7.65,0,0,480.79,0.93,0,2.42,89.08,0,0.66,1.29,0,0,0,2.85,2.81,0,51.78,2,3.77,4.92,1476.69,0,19.53,13.91,0,0,8.09,0,0,0,0,185.81,0,2.42,30.75,0.8,1.45
 72-82,0,0,2.4,0,13.26,1.5,0,538.35,0,7.31,3.08,128.8,5.13,0,5.83,1.61,0.61,1.38,7.04,15.31,0,81.46,2.58,17.09,12,1302.01,0,23.19,12.92,0,0.72,4.86,0,0.64,0,0,173.03,16.39,4.51,42.47,1.76,18.64
 84-94,0,0,1.91,0,20,11.67,0.59,352.63,0,0.88,0.83,62.01,8.93,0,6.16,2.94,3,0,1.8,10.68,6.55,67.79,2.42,4.56,4.76,664.03,0.61,21.91,5.73,0,0,27.2,0,3.17,0,0,75.35,13.09,3.94,21.44,1.78,0
 96-106,0,0,0,0,25.56,11.83,0,331.99,0,6.09,5.22,90.07,10.19,0,1.77,2.13,1.23,1.4,9.66,13.92,0,90.66,5.3,3.65,6.64,655.99,1.17,30.11,10.97,0,2.93,23.43,0,1.95,0,0,24.24,22.67,0.83,53.87,2.98,5.2
108-118,0,0,4.05,0,27.16,8.15,6.62,314.79,4.97,1.24,3.13,136.36,12.55,0,6.52,0.82,0,5.11,3.34,14.75,2.26,92.93,8.1,1.83,5.45,750.15,0,11.37,5.87,0,0,17.34,0,2.42,0,0,22.04,21.82,0.96,50.88,0,0.96
120,0,0,0,0,16.64,15.4,1.6,188.03,1.76,5.22,3.22,146.88,14.93,0,0,4.33,0,0,2.53,8.46,0,83.96,0,0,2.83,951.47,2.64,8.88,4.64,0,0,22.42,0,5.04,0,0,43.6,22.88,0,40.31,0,0
