stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.11,1.09,22.92,3.09,0,3.35,0,0,0,2.88,2.14,3.96,0,0,2.04,0,0,0,0,0.91,1.09,0,0.99,102.32,16.31,5.33,0.94,361.28,0,0,4.55,0.91,15.95,62.29,0,0,2.46,0,0
 24-34,0,0,28.82,0,0,30.46,0,0,0,10.93,0.59,0,0,0,4.7,0,0.75,18.29,6.43,6.6,3.91,0,13.71,276.86,7.05,4.94,6.91,552.44,0,0,18.52,2.08,4.6,94.52,0,0,19.91,0,0.78
 36-46,0,0,20.68,0,0,21.61,0,1.3,1.25,6.97,2.37,0,0,2.12,10.08,0,1.15,0,0,5,3.07,0,2.24,188.75,0.96,3.83,5.39,535.06,0,0,2.27,4.33,0,74.06,0,0,5.07,0,1.06
 48-58,0,0,23.96,2.34,0,39.36,0,5.82,1.21,22.11,4.76,0,0.67,1.6,0,0,0.42,3.12,3.19,9.82,1.01,0,1.47,183.58,16.63,3.29,9.67,402.96,0,0,0.87,0,0,48,0,0,1.29,0,2.16
 60-70,0,0,13.57,0,0,79.35,0.58,3.1,1.03,9.36,3.24,0,0,3.75,0,0,2.98,3.78,0,18.39,7.79,1.19,6.74,182.55,5.32,2.28,13.98,302.71,0,0,6.41,2.77,0,33.92,0,0,5.71,0,0
 72-82,0.83,0,25.52,10.03,0,83.88,0,0.64,1.47,27.66,21.93,0.52,0,5.69,4.93,0,6.41,32.01,0,45.23,4.26,2.66,1.14,262.03,2.91,2.17,21.86,226.13,0,0,3.67,0,0,30.79,0.67,0.87,1.73,0,1.87
 84-94,4.4,0,40,20.79,2.41,109.91,0,2.63,2.06,22.89,27.2,0,0,1.53,7.92,0,4.72,93.18,0,26.25,20.12,0,0.68,124.36,2.72,14.28,39.45,556.54,0,0,3.98,0.83,0,10.81,0,0,0.56,0.62,0
 96-106,0,0,37.14,53.02,11.07,118.35,0,9.8,6,34.25,61.57,0,0,3.38,4.45,0.89,15.03,249.82,0,49.65,18.9,10.96,10.83,207.94,2.01,7.1,62.12,436.33,0,0,5.02,1.49,0,13.65,1.59,0,13.43,2.63,0
108-118,2.36,0,50.58,11.58,6.54,123.32,0,10.85,5.59,35.1,50.74,0,0.83,6.95,5.88,0.43,6.28,344.34,0.51,67.3,9.6,2.85,4.53,197.08,4.88,1.89,62.21,295.32,0.42,0,4.7,0,0,19.08,6.12,0,6.99,2.01,1.56
120,0,0,31.57,19.13,3.62,92.35,0,3.9,0,34.96,64.28,0,0,3,0,0,3.91,211.27,0,82.9,14.5,0,5.51,161.99,0,5.12,33.51,176.22,0,1.12,3.46,0,0,0,0,0,30.08,1.96,0
