stage,axial,blastomeres,endoderm,eye,heart,immune,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,0,35.7,0,0,0,0,0,0,0,0,0
  5-6,0,6.45,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,3.64,0,0,0,0,4.31,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.39,0,0
 24-34,0,0,0,0,0,0,0,1.09,0,0,0.91
 36-46,0,0,0,0,0,1.38,0,0,0,0,0
 48-58,0,0,0,0,0,1,0,2.48,0,0.59,0
 60-70,0,0,0,0,0,1.49,0,0,0,0,0
 72-82,0,0,0,0,0,8.82,0,6.28,0,0,0
 84-94,0,0,0,0,0,11.1,0,0,0,0,0
 96-106,0,0,0,3.64,0.76,5.42,0,0,0,0,0
108-118,0,0,0,2.16,0,6.79,4.62,1.23,0,0,0
120,0,0,0,0,0,7.65,0,5.61,0,0,0
