stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,53.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,0
 10-12,0,10.65,0,0,3.98,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0
 14-21,0,0,0,1.24,0,1.06,0,0,0,0,0,0,0.87,1.74,0,0,0.96,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,1.1,0,0,1.73,0,1.08,0.76,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.62,0,0,3.76,0,6.27,0,0,0.87,0
 48-58,0,0,2.74,0,1.17,0,0,0,0,0,0,0,0,6,0,8.78,0.73,0,0,0
 60-70,0,0,1.38,0,0,0,4.35,0,0,0,0,0,0,5.31,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.28,1.48,0,0,0,0.76,2.26,0,6.41,0,1.76,0,0,0,0
 84-94,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0
 96-106,0,0,3.07,0,0,0,0,0,0,1.58,1.55,3.31,0,4.05,1.98,3.78,2.78,0,0,0
108-118,0,0,3.11,0,0,0,0,4.07,0,0,1.29,0,0,4.26,0,4.72,0,2.42,0,1.17
120,0,0,1.36,0,0,0,3.28,1.88,4.98,0,2.65,0,0,1.99,0,4.35,0,0,0,0
