stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.26,236.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0
  5-6,0,108.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.14,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,70.17,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,70.86,9.4,0,0,20.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,4.07,2.87,0,0,2.32,1.31,0.95,0,0,0.87,4.52,0,4.33,0,0
 24-34,0,0,0,0,0.77,0.6,0,0,0,1.13,0,0,0,0,2.95,0,0,0.73,11.36,1.43,0,0,0,0.7,0,0,0.69,0,3.37,0,0,0,1.99
 36-46,0,0,0.7,0.67,2.17,0,0,0,0,0,0,0,5.6,2.86,0,0,0,0,13.46,0,1.67,0,0,1.52,0,0,0,0,4.15,0,1.03,0,0
 48-58,0,0,0,1.19,9.16,0,0,0,0,0,0,0,0,0.39,3.85,0,0,0,13.11,0,0,0.54,0,0.57,0,0,0,0,6.8,0,0,0,0
 60-70,0,0,0,10.02,11.13,0,5.62,0.61,0,0,0,0.92,0,4.05,2.4,0.58,0,0.78,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76
 72-82,0,0,0,5.17,7.07,0,7.61,0,0,0,1.89,0,0,0,3.2,0,0,0,10.79,0,0,1.32,0,1.31,0,0,0,0,1.21,0,1.31,0,0
 84-94,0,0,0,8.77,23.17,0,0,0.9,0,0,2.08,0,0,3.76,4.89,0,2.78,0.57,4.75,0,0,1.75,0,1.57,0,0,0,0,0,1.15,2.83,0,1.58
 96-106,0,0,1.41,3.97,0,0,5.73,3.23,0,1.6,4.7,0.66,0,0,7.28,0,0,0.69,0,0,0,0,0,5.28,0,0,0,0,0,0,6.94,0.67,0
108-118,0,0,0,2.54,7.89,0,2.88,1.16,0,0,0,0.55,0,2.38,2.33,0,0,0,14.68,0,0,0.52,0,0.96,0,0,0,0,0,0,0.64,0,2.17
120,0,0,1.07,3.15,3.13,0,0,0,0,0,0,5.09,0,0,19.85,0,0,1.56,9.66,0,0,0,0,5,0,3.3,0,0,4.09,0,9.03,0,0
