stage,eye,glial,gut,neural,olfactory,somites,spinal_cord
  7-9,9.66,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.82,0
 24-34,0,0,0,0.75,0,0,0
 36-46,0,2.52,0,0,0,0,1.37
 48-58,0.78,0,0,5.1,0,0,2.97
 60-70,0,0.88,0.63,5.27,1.1,0,0
 72-82,0,0,0,1.62,0,0,0
 96-106,0,0,0,0,1.81,0,0
108-118,0,0,0,3.79,5.99,0,0
