stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.73,56.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,21.42,0,0,5.25,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,14.42,0,0,4.49,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.07,1.01,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.67,0,0,0,0,0,8.42,0.85,0,0,1.04,0,1.33,0,0,0.64,0,0,0
 36-46,0,0,0,0,0,0,0,0.69,8.43,1.34,0,0,1.2,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.45,0,0.41,0,15.26,5.61,0,0,0.71,0.73,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,29.2,1.83,0,0,0,0,0,0,0,0,0,0,0.84
 72-82,0,0,0,0,1.06,0,0,0,31.53,2.26,0.55,1.29,1.72,0,0,0,0,0,4.22,0,6.02
 84-94,0,0,0,0,0,1.47,0,0,53.94,2.46,0,0,1.2,0,0,0,0,0,0,1.15,0
 96-106,0,0,0,0,0,0,0,0,36.57,7.63,0,1.25,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,48.93,5.19,0,1.41,7.24,0,0,0,0,0,0,0,0
120,0,0,0,1.97,0,0,0,0,65.58,0,0,0,24.26,0,0,0,1.09,0,0,1.46,0
