stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.7,725.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0
  5-6,48.14,661.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.77,0,0,0,18.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.27,12.75,0,0,31.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.95,0,0,0,4.78,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,114.32,9.15,0,0,29.29,0,0,0,0,23.78,0,0,0,0,0,0,0
 14-21,0,0,0,14.45,19.59,0,1.89,0,0,0,1.22,0,0,0,3.53,3.36,0.87,0,0,7.61,0,0,12.47,25.7,0,0,0,2.97,0,0,1.81,18.55,1.81,2.73,10.15,27.44,0,12.26,0,0
 24-34,0,0.83,0,10.69,2.25,0,2.75,0,0,1.52,2.15,2.86,0,4.41,2.49,0.98,0,0.72,0,21.13,0,0,15.39,30.43,0.65,0.68,0,0,0,5.96,0,0,4.4,0,3.02,11.57,0,37.77,0,0
 36-46,0,0,0,7.58,0,0,17.66,0,0,0.75,1.02,0,0,9.45,1.06,0,0,0.68,5.12,22.69,0,1.57,7.67,62.94,0,0.88,0.58,0,0,2.67,0,0,1.74,2.28,0,16.64,0,7.75,0,1.02
 48-58,0,0,0,14.09,0,0,8.53,0,0,1.38,2.53,0,0,9.7,7.4,0.4,2.64,1.01,0,22.08,5.19,0.87,10.54,19.42,0,0.58,0,0,0,2.81,0,0,0.52,1.46,0,11.54,0,8.71,0,9.95
 60-70,0,0,0,13.54,0,0,4.05,0,0,4.82,2.92,0,0,0.95,3.6,6.34,0,0,0,44.75,0,0,1.98,5.4,0,0.62,1.03,0,0,15.54,0,0,0,0,0,1.63,0,13.78,0,7.71
 72-82,0,0,0,2.66,0,0,3.12,0,0.74,1.85,13.74,0.64,0,7.13,5.33,0.53,0.52,0,0,59.4,0,4.35,2.93,7.14,0,0,1.85,0,1.4,6.37,0,0,0,0,0,8.17,1.42,19.82,4.92,16.85
 84-94,0,0,0,6.97,3.31,0,4.1,0,4.36,6.21,3.21,0,0,3.42,14.62,3.73,3.47,0.73,0,38.7,0,0,2.91,16.34,0,0,7.91,0,0,6.31,0,0,0,0,0,2.28,5.92,21.08,2.61,11.09
 96-106,0,0,0,12.94,2.13,0,12.5,0,0.56,2.46,17.27,0.8,0,8.79,10.77,2.84,0.64,0,0.69,62.03,4.57,6.24,3.58,41.5,0.58,1.99,5.44,0,2.14,12.56,0,0,0,0,0,4.6,0,31.95,4.72,9.3
108-118,0,0,0,19.84,4.89,1.5,7.58,2.48,1.04,5.9,26.23,4.02,0,6.12,10.97,3.28,13.03,0,0,67.16,0.42,8.76,8.51,43.07,2.1,0,5.38,0,1.28,8.35,0,0,0.88,0.49,0,0,0,29.55,5.78,8.11
120,0,0,0,20.21,6.9,1.06,19.62,2.05,0,3.49,22.08,5.96,0,0,12.23,0,4.28,0,0,112.21,0,2.22,18.63,31.84,3.19,1.11,4.93,0,0,10.53,0,0,0,0,0,0,4.19,44.77,11.3,0
