stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.91,1.65,0,0,0,0,2.22,0,0,0,0,7.06,0,0,0,0,2.57,6.18,0,0
 24-34,0,2.32,0,0,0,2.87,0,0,0,0,0,0.79,1.72,12.83,0,0,4.25,0,1.31,8.66,0,0
 36-46,0,0,0,3.5,26.29,11.23,0,0,2.5,0,0,0.83,0.95,9.84,2.39,0,7.37,2.65,0,4.84,0,0.68
 48-58,0,0,0,0.53,6.59,2.38,0.5,0,0,0,0,0.43,4.73,25.67,0,0.44,0,0,0,4.51,0,0
 60-70,0,0,0,3.48,0,0,0.75,0,0,0,0,7.4,0,21.59,0,2.68,0.96,0.71,0,1.54,1,0
 72-82,0,0,0,0.7,0,0.74,0,0,0,0,0,0,0.84,2.69,0,0,0,4.56,0,0,0.5,0
 84-94,0,0,4.15,4.47,0,1.72,1.36,0,0,0,0,3.13,0,4.16,0,0,0,0,0,1.56,0,0
 96-106,0,0,0,1.33,0,15.53,0,1.02,0,2.09,0.63,4.1,2.77,23.04,0,0,2.27,0,0,1.63,0,0
108-118,0,0,0.92,0,0.43,0.46,0.92,1.61,0,0,0,0,3.06,6.26,0.46,0,2.95,2.3,0,0,0,0
120,0,0,0,0,0,5.89,5.86,0,0,0,0,0,0,19.61,0,0,0,1.56,0,0,0,0
