stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,249.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.42,376.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.86,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.47,9.66,0,7.09,0,0,0,68.23,0,0,0,0,0,12.19,0,0,0,0,0,0,0,0,0,0,426.85,14.44,0,0,166.57,0,0,14.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.64,0,56.95,0,0,0,42.5,0,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,335.28,12.29,0,0,164.96,0,0,5.85,0,24.86,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,5.76,3.71,0,1.99,0,0,0,2.05,0,0,0,0,0,0,0,0,6.48,0,0,1.52,64.12,4.23,0,0.84,1.78,0,0,0,10.04,0,0,0.83,25.94,0,0,0,0,0
 24-34,0,0,0,0.59,2.84,0.76,0,11.18,0,0,0,1.41,0,0,0.69,0.87,0,0,0,1.49,15.06,1.09,0,1.74,151.28,1.29,2.57,3.04,0,0,2.16,0,0,0.61,0,3.23,18.96,0,0,5.18,0,0
 36-46,0,0,0,0,10.42,0.81,0,20.32,0,0,1.78,3.27,0,0,1.45,0.73,1.02,0,0,0,9.94,0,0,10.15,177.05,0,4.14,2.11,0,0,3.18,0,0,0.63,7.71,0,48.78,0,0,9.2,0,0
 48-58,0,0,0,0,2.56,0,0,52.53,0,0,0.39,15.15,0,0,1.3,1.77,0,0,0,1.54,16.35,0,6.13,4.76,186.15,0,1.58,0,0,0,0.8,0,0,0,0,0,50.35,0,0.42,2.34,0,0.49
 60-70,0,0,0,0,2.83,0,0,73.29,1.04,0.9,0,3.52,0.83,0,0,1.9,0,0,0.8,0,21.2,0,0,1.86,173.82,0,0.96,0,0,1.19,0,0,0,0,0,0,23.1,0,0,3.86,0,0
 72-82,0,0,0,0,2.57,1.48,0,56.45,0,0.7,0,18.46,0.69,1.17,0,1.3,0,0,1.7,1.95,26.41,2.64,1.41,2.78,112.39,0,0,0,0,0,2.3,0,0,2,0,0,14.03,0.88,0,6.85,0,0
 84-94,0,0,2.22,0,3.84,14.49,0,57.14,0,0.6,0,5.39,2.12,0,0,2.48,0.75,0.64,2.94,0.95,19.74,0,1.4,1.04,77.16,0,0,1.37,0,0,7.98,0,0,1.26,0,0,7.65,0,1.27,10.42,2.78,0
 96-106,0,0,0,0,4.06,10.37,0,32.84,0,0,0,10.01,1.5,0,0.97,3.48,0,0,0.9,0,40.76,0,2.75,2.05,91.58,0,4.52,0,0,0,7.03,0,0,0,1.26,0,7.71,0,0,1.53,0,0
108-118,0,0,0,0,6.06,0,1.31,33.64,0,1.29,0,7.76,5.62,0,0,0.98,0,1.17,1.18,1.5,15.13,1.09,0.83,2.99,57.82,0.45,0,8.72,0,1.59,2.41,0,0,0.61,0,0,1.83,0.46,0,12.42,0,0.62
120,0,0,0,0,8.38,4.05,0,0,0,3.68,0,8.98,0,0,0,0,0,0,0,0,7.78,0,0,0,74.15,0,0,0,0,0,3.7,0,0,0,0,0,0,9.46,0,0,0,0
