stage,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,4.61,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.78,2.84,0,0,0,0
 36-46,0,0,0,0,2.33,0,0,1.17,0,3.95,0
 48-58,0,0,0,1.7,3.23,0.43,0,0,0.64,4.07,0
 60-70,0,0,0,0,7.02,1.32,0,0,0,0,0
 72-82,0.59,0,0.53,0,11.53,0,0,0,0,6.14,0
 84-94,1.01,0,0,0,4.49,0,0,0,0,3.97,0
 96-106,0.68,1.42,0,0,12.86,0,0,0,0,0,2.33
108-118,0,0,0,0.88,6.57,0,1.52,0,0,13.5,0
120,1.9,0,0,1.54,4.26,0,0,0,0,3.09,0
