stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,1183.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.76,0,0,0,0,0,0,0,0,0,0
  5-6,51.3,1072.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,10.37,8.51,0,0,0,0,0,0,0,0,0,0
  7-9,27.01,57.96,14.99,0,0,125.56,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,698.08,28.81,0,0,323.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,39.88,53.99,0,20.57,90.19,0,0,0,0,28.04,0,0,0,0,0,0,0,0,0,0,0,1066.53,40.58,0,0,400.48,0,0,138.5,0,4.89,4.33,0,0,0,0,0
 14-21,0,0,3.04,89.08,28.23,34.97,0,0,21.19,3.88,0,1.99,0,13.21,0,0,0,0,55.34,0,0,47.62,637.86,8.51,3.32,15.24,7.65,0,31.58,8.14,3.94,35.76,227.27,0,0,11.43,0,0
 24-34,0,0,0.6,24.22,2.52,73.32,0.81,0,34.73,0,0,3.45,1.32,1.31,3.37,2.89,0,1.07,86.87,0,0,37.33,1244.13,9.32,7.2,13.85,0,1.11,0,1.61,2.82,8.2,295.63,0,0,36.87,0,0
 36-46,0,0,0,8.1,2.94,126.81,1.39,0,63.08,0.72,0,3.94,0.84,0,0.61,0.75,0.57,0,116.32,0,2.81,33.43,905.35,3.5,4.16,23.21,0,0,0,2.54,0,0.83,332.33,0,1.04,16.18,0.78,0
 48-58,0,0,0,4.14,0.79,183.14,0,0.82,66.19,0.38,0,1.26,0.45,0.39,0,0.87,0,0,85.69,0,3.56,13.44,434.4,0.54,3.08,0.5,0,0,0,0,0,0,151.3,0,0,14.59,0.5,0
 60-70,0,0,0,2.96,2.37,147.97,0,3.48,27.99,0,0,0.6,1.55,0,0,0,0,0,40.66,1.91,2.04,0.68,120.19,1.36,0,0.63,0,0,0,0.62,0,0,51.15,0.77,0,10.62,0,3.58
 72-82,0,0,0,0,2.99,76.9,2.6,5.38,32.1,0,0,1.89,5.3,0,0,0,0,0,26.11,0,3.31,2.36,87.05,0,1.37,0.69,0,0,0,0,0,0,10.87,0,0,2.81,0,0
 84-94,0,0,0,0,3.92,30.87,0,1.59,24.93,0,0,3.69,7.62,0,0,0,0,0,21.95,0,2.26,3.21,80.3,0.67,0,1.88,0,0,0,0,0,0,10.6,0,1.57,1.4,1.58,0
 96-106,0,0,0,1.35,5.56,22.42,0,7.32,15.1,0,0,0.87,2.26,0,0,0,0,0,6.13,0,0,1.18,32.66,0,0,1.36,0,1.62,0,0,0,0,8.03,0,0,7.23,3.26,0
108-118,0,0,0,3.94,13.01,24.45,0,4.69,16.08,0,0,0,1.56,0,0,0,0,0,24.17,3.15,2.24,3.03,26.76,0,0,0.86,0,0,0,0,0.46,0,2.21,0,0,0,1.61,0
120,0,0,0,0,0,0,0,0,25.96,0,0,0,11.82,0,0,0,0,0,22.26,0,10.27,0,44.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
