stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,66.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,16.27,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,6.54,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.85,1.64,0,0,0,0,0,0,0,0,0,0,3.62,0,0.81,7.6,0,0,0,0,0,1.4,3.08,0,0,0,0
 24-34,0,0,0,0,0.71,0,1.9,0,0,0,0,0,0,0,0,0.82,0,0,10.96,0,0,0,0,0,0.79,0.63,0,0,0,0
 36-46,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,1.07,0,0,0.63,13.35,0,0,0,0,0,0,1.9,0,0,0,0
 48-58,0.78,0,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0.99,0,0,5.99,0,0,0,0,0,0,0,0,0,0,1.08
 60-70,0,0,0,0,0,0,22.79,0,0,0,0,0,0,0,0,6.69,0,0,26.56,0,0,0,0,0,0,1.61,0,0,0,0
 72-82,0,0,0.5,0,0,0,1.68,0,1.01,0.67,27.49,0,0.57,0,11.12,4.79,0,0,7.03,0,0,0,0,0.85,0,0,1.57,0,0,0
 84-94,0,0,0,0,0,0,3.58,0,0,2.28,31.43,1.68,0,0,2.76,1.91,0,0,4.99,0,0,0,0,8.04,0,2.91,0,0,0,0
 96-106,0,0,1.07,0,0.73,2.68,14.75,0,0,1.84,301.62,0,0.72,0,27.74,5.75,1.47,0.9,62.34,0,1.18,0,6.41,21.91,0,0,0,0,0.91,0
108-118,0,0,4.19,1.63,1.25,0,21.17,0.48,0,8.78,494.07,0.64,0.43,0.63,98.01,5.96,0,0,51.24,0,0,0,0,60.59,0,0,0,1.19,0,0
120,0,0,3.01,6.07,1.07,0,5.55,0,0,19.04,382.85,15.82,0,0,82.21,2.37,0,2,93.21,0,8.58,0,1.16,11.29,0,0,0,0,10.94,0
