stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.58,0,0,0,0,0,0,0,0
  5-6,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.21,0,0,0,0,0,0,0,0
  7-9,0,0,0,16.58,0,0,0,0,0,0,0,0,0,22.05,0,0,0,0,0,0,0,0,22.89,0,0,0,7.32,30.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,154.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.32,11.57,0,0,3.49,21.05,0,0,0,0,0,0,0,0
 14-21,0,0,0,15.15,96.11,0,0,0,0,0,0,1.1,4.23,0,0,0.97,0,2.13,2.35,0,0,0,11.77,6.02,1.02,31.22,0,52.38,1.86,0,1.83,0,0,0,0,0
 24-34,0,0,0,8.76,14.22,0,0,0,0,2.11,0,0,0,0,0,8.55,1.71,1.13,1.12,4.83,0,0.71,30.41,0.67,5.22,30.19,0,178.86,0,2.85,0.62,1.52,0,0,0,0
 36-46,0,0,0,0,1.81,0,0,2.53,0,2.39,0,0,0,0,0,0.93,2.56,0,0.89,3.6,0,0,17.33,0,1.56,40.08,0,332.11,0,0,0,2.88,0,0,0,1.27
 48-58,0,0,0.39,0,16.64,0,0,3.94,0,7.75,0,0.59,0.92,1.89,0,0.4,3.81,0,1.71,2.25,0,1.93,31.92,0,1.06,45.21,0,241.27,0,1.47,0,2.85,0,0.37,0,0
 60-70,0,0,0,0,11.54,0,0,3.38,0,6.81,0,0,6.35,0,1.1,1.79,10.23,2.16,4.5,4.51,0,0,31.11,0,3.73,24.98,0,249.74,0,0,0,0,0,0,0,0
 72-82,0,0,13.03,1.51,17.95,0,0,14.35,0,0.5,0,3.91,32.92,2.43,1.82,1.75,8.48,0,6.75,10.66,0,0,21.79,0,3.2,71.09,0,255.42,0,0,0,0,3.62,0,0,0
 84-94,0,0,5.61,2.15,35.49,0,0,0,0,11.81,0,1.81,64.7,2.56,0.75,5.38,13.09,4.02,6.79,7.98,0,0,24.96,0,4.94,38.94,0,600.35,0,2.9,0,4.84,7.18,0.97,0,0.77
 96-106,0,0,7.8,1.72,49.73,0,0,14.87,0,4.01,0,11.06,116.55,0,2.15,5.6,23.01,0,1.02,7.63,0.59,0,23.64,0,10.19,62.37,0,387.44,0,0,0,0,10.08,0,5.63,5.25
108-118,0,0,7.22,3.77,43.18,3.45,0.5,19.73,1.39,10.89,0,6.75,129.16,0,9.8,5.77,17.23,2.17,6.77,17.06,0,0,30.71,0.43,11.99,60.06,0,429.59,0,0,0,1.8,8.44,3.8,0,0
120,2.37,0,0,7.58,44.41,0,0,0,0,12.55,1.67,11.25,156.13,0,12.33,0,26.79,0,0,4.32,0,2.36,20.13,0,3.14,85.84,0,205.29,0,0,0,0,10.48,0,0,0
