stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.63,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,54.03,6.53,0,0,22.64,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.94,7.28,1.17,0,2.76,0,0,0,3.7,0,1.79,0,0,0,0,0,0,0,4.74,0,0,0,72.46,1.18,0,0,0,0,0,4.76,1.28,1.68,33.93,0,0,0,0,0
 24-34,0,0,0,2.33,0.96,0,3.9,0,0.81,0,1.53,0,0,0,0,0,0,0,0,0,3.63,0,0,3.91,156.01,0.83,4.06,3.81,0,0,0,0,0.98,0,37.65,0,0,4.9,0,2.4
 36-46,0,0,0,3.41,0,0,17.05,0,0,0,7.36,0,0,0,0,0,0,0.77,0,1.38,6.08,0,0,0,235.24,0,9.89,0,0,0,0,0,0,0,32.73,0,0,0.57,0,4.61
 48-58,0,0,0,2.73,0,0,24.25,0,0.51,7.06,9.22,0,0,1.4,0,0,0.54,0,2.77,0,24.81,1.91,0.66,3.02,320.33,0.56,4.25,1.07,0,0,0,0,0.53,0,30.51,0,0,2.81,0,0
 60-70,0,0.57,0,6.22,0.7,0,32.21,0,5.42,0.89,13.01,0,0,0,3.27,0,1.62,1.16,0,0,42.79,0,1.28,1.64,501.79,0,4.37,2.9,0,0,0,0,0,0,43.94,0,4.21,4.48,4.25,0
 72-82,0,0,0,1.85,0,0,34.51,0,0,1.25,15.12,0,0,0,0,0,0,0.79,1.59,0,60.08,0,1.64,4.69,464.59,0,13.83,8.08,0,0,1.47,0,0,0,13.67,0,0,6.64,1.13,7.55
 84-94,0,1.29,0,4.42,4.45,0,33.74,0,0.59,3.89,23.4,0.61,0.64,0.6,0,0,0,0.83,0,0,72.39,0,5.29,2.59,239.04,0,6.52,12.96,0,0,0.61,0,0,0,10.95,0,4.87,1.42,5.01,0
 96-106,0,0,0,5.68,0,0,34.93,0,0,1.49,22.94,2.53,0,0.61,0,0,0,3.14,10.79,0,50.32,0.71,0.93,0.64,164.47,0,6.74,11.93,0,0,5.21,0,0,0,7.77,0,1.73,0.65,5.81,3.59
108-118,0,0,0,1.74,7.47,1.54,25.94,0,0,2.55,30.1,2.03,0,0,0,2.59,0,3.91,2.4,0,56.88,1.25,1.16,5.25,366.26,0,4.97,7.28,0,0.86,0.44,0,3.73,0,11.03,0.55,2.26,4.55,1.72,0
120,0,0,0,18.45,0,0,29.19,1.26,0,2.83,36.36,0,0,0,0,0,0,0,13.66,0,28.04,0,0,0,286.87,0,13.27,6.2,0,0,0,0,0,0,2.78,0,0,5.44,2.57,1.1
