stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,50.53,628.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.51,271.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.37,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.62,17.14,7.88,0,0,0,92.13,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,465.39,13.37,0,0,179.96,0,3.78,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.53,7.35,0,11.96,0,86.81,0,0,0,0,0,14.26,0,0,0,0,0,0,0,0,0,630.17,13.97,0,0,278.91,0,3.47,0,13.87,28.06,0,3.24,0,0,0,0,0,0
 14-21,0,0,2.41,11.91,4.35,0,2.89,0,0,0,1.21,0,0,0,0,0,0,0,0,4.78,0,12.22,70.31,0,0,0,0,0,11.59,0,20.49,1.81,3.59,27.33,14.56,0,0,0,0,0
 24-34,0,0,0,2.19,0.84,0,10.78,0,0,0.79,3.08,0,0,0,0,0,0,0,0.78,12.09,0,4.04,61.56,0,0.87,0,0,0,0,0,0,0,12.28,4.41,23.97,0,0,0,0,0
 36-46,0,0,0,0.64,0,0,22.03,0,0,0,6.04,0,0,0.72,0,0,0,0.89,0,8.55,0,6.35,71.89,0,0,0.66,0,0,0,0,0,0,0,0.56,13.18,0,0,1.04,0,0.98
 48-58,0,0,0,4.27,0.66,0,46.76,0.67,0,0.95,12.4,0.39,0,0,0,4.01,0,0.48,0.5,12.31,0,1.2,37.55,0,0,0,0,0,0,0,0,0.61,0,0,6.52,0,0,4.52,0,0
 60-70,0,0,0,1.36,0,0,59.06,0,0,0,5.08,0.59,0,0,1.63,0,0,0,0,19.8,1.8,4.64,33.74,0,0.71,0,0,0,0,0,0,0,0.67,0,1.67,0,0.8,4.16,0,0
 72-82,0,0,0,1.53,10.95,0,50.4,2.19,0,4.84,12.51,0,0,0,0,0,0,0,0,18.27,2.07,2.06,36.33,0,0,1.48,0,0,1.65,0,0,0,0,0,0,0,0,1.93,2.56,0
 84-94,0,0,0,0.73,12.57,0.59,55.04,0,0,0,10.55,0,0,0,0,0,0,0,0,12.33,0,9.42,19.48,0,1.26,0.6,0,0,0,0,0,0,0,0,1.25,4.72,0,4.23,4.69,0
 96-106,0,0,0,6.68,11.55,0,23.57,0,0,0,3.01,0,0,0.96,0,0,0,0,0,25.74,0,8.93,38.86,0,0,0,0,3.62,3.29,0,0,0,0,0,1.15,0.58,2.55,2.95,0,1.69
108-118,0,0,0,1.13,12.86,0.73,36.35,0,0.5,0,10.78,0.53,0,0,0.96,0,0.64,0,0.59,17.22,0,6.72,44.12,0,0.79,1.44,0,0,1.84,0,0,0,0.46,0,2.82,0.44,0.57,1.25,5.14,1.16
120,0,0,0,0,12.77,0,21.43,0,2.34,0,7.12,0,0,0,0,1.62,0,1.02,0,38.31,13.74,7.14,45.38,0,0,0,0,0,5.09,0,0,1.21,0,0,0,0,0,3.35,0,0
