stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord
  3-4,71.52,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.15,0,3.75,0
 24-34,0,0,0,0,0,0,0,0,5.44,0,0,0
 36-46,0,0,0,0,0.64,0,0,0,31.92,0,0,3.42
 48-58,0,0,0,0,0,0,0,3.11,143.74,0,0,13.9
 60-70,0,0,3.52,0,4.48,0,0,3.16,379.87,0,0,9.09
 72-82,0,0,24.35,0,1.69,0.92,0.95,2.39,583.99,0,0,37.6
 84-94,0,0,13.74,0.65,4.01,0,0,2.24,370.22,0,0,8.35
 96-106,0,0,20.34,11,4.14,0,0,2.21,410.44,0,0,10.73
108-118,0,4.1,9.78,0,6.01,0,0,2.6,329,0,0,12.1
120,0,0,6.11,0,0,0,0,2.33,513.81,3.27,0,0
