stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,162.27,3242.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.87,0,0,0,0,0,0,0,0,0,0
  5-6,70.04,1301.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,14.56,0,0,0,0,26.44,0,0,0,0,0,0,0,0,0,0
  7-9,7.76,7.47,0,0,0,31.39,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,153.39,3.7,0,0,26.56,0,0,23.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3,0,0,0,13.8,0,0,5.62,0,16.26,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,2.58,0,0,0,0.99,0,1.96,0,0,0,0,0,0,0,0,0,0,0,136.84,0,0,0,2.45,0,0,0,2.03,25.24,0,1.61,20.64,0,0,1.09,0
 24-34,0,0,0,1.18,0.8,31.4,0,0,0.61,5.59,0.92,0,1.24,0,0,0,0,0,0.8,26.59,0,0,2.54,562.44,0.61,16.6,18.65,0,0,11.72,0,0,4.71,0,0,117.71,0,0,0.85,0
 36-46,0,0,0,0.62,2.92,86.53,0,0,0.62,10.45,0,0,0.95,3.42,5.3,0,0,0,0,29.13,0,0,3.6,648.42,1.43,15.52,17.69,0,0,11.85,0,0,0.62,0,0,154.78,0,0,0,6.28
 48-58,0,0,0,4.29,0,238.91,0,0,0,21.92,1.77,0.57,0,1.07,0.52,0,1.69,0,7.8,22.42,1.05,0,8.39,978,0,9.65,23.09,0,0,19.59,0,0,2.91,0,0,228.16,0,0,5.82,5.15
 60-70,0,0,0,6.88,0.7,461.63,0,2.09,0,24.74,1.94,1.34,0,2.64,0,4.25,4.38,0,11.2,44.72,0,0,3.67,1374.26,0,3.86,26.44,0,0,2.37,0,0,0.76,0,0,284.2,0,0.82,0,0.77
 72-82,0,0,0,16.54,3.98,665.28,1.86,5.9,0,46.57,5.87,0,0,7.41,0,0,17.56,5.18,1.45,55.1,0,6,7.53,1468.97,0,13.53,70.29,0,1.4,0,0,0,0.93,1.06,0,265.62,0,0,4.38,10.77
 84-94,0,0,0,5.73,1.85,501.69,0,5.01,0,48.02,0,0,0,11.73,0,0,24.6,0,1.76,32.94,1.18,2.16,6.41,1283.32,0,9.99,82.82,0,0,37.98,0,0,5.41,0,0,237.68,2.89,0,4.05,7.08
 96-106,0,0,1.11,18.26,11.32,637.28,0,2.18,0,129.47,8.19,0,0.87,11.53,0,0.81,27.74,0,0,36.14,2.72,0,0.59,1290.87,0.75,16.84,102.73,0,4.53,32.1,0,0,1.81,0,0,133.39,1.17,0,3.8,12.63
108-118,0,0,0.75,19.5,5.06,498.96,0,1.71,0.73,139.36,1.7,0,0,9.21,1.39,0,21.41,1.62,0,61.34,4.01,0,1.16,1353.07,1.31,19.63,118.51,0,0,47.96,0,0,2.25,0,0,130.26,0,0,2.04,12.33
120,0,0,2.94,42.42,2.28,522.72,1.95,3.85,0,349.33,6.46,0,2.77,25.77,0,12.97,39.57,0,0,128.4,1.1,0,14.41,2991.45,0,11.97,249.07,0,0,30.5,0,0,0,1.52,0,277.11,0,0,7.87,0
