stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,otic,paraxial.mesoderm,spinal.cord
  3-4,21.86,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.23,0
 14-21,0,0,0,0,0,0,5.48,0.88,0,3.09
 24-34,0,0,0,0,0,0.91,7.91,0,0,4.85
 36-46,0,0,0,3.12,0,0.71,26.79,0,0,1.64
 48-58,0,0,2.52,4.15,0,0.73,22.47,0,0,11.23
 60-70,0,0,0,14.96,0.83,0,26.73,0,0,7
 72-82,0,0,0,17.88,0,0,37.93,0,0,4.93
 84-94,0,0,0,14.35,0.7,0,23.53,0,0,0
 96-106,0,0,0,10.06,0,0,22.28,0,0,1.54
108-118,0,1.37,0,19.26,0,0,14.39,0,0,0
120,0,3.24,0,12.66,0,0,66.22,0,0,0
