stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,74.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.35,6.25,0,0,24.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.31,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,15.69,0,0,0,23.81,0,0,3.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.66,6.66,3.51,0,0,0,0,0,3.67,3.21,1.99,0,0,0,0,0,41.15,0,0,6.49,36.42,0,0,0,0,0,0,0,3.18,0,5.62,200.23,0,0,1.29,0,0
 24-34,0,11.23,0,8.88,9.3,2.61,0,0,0,3.99,0,4.01,1.21,0,0,1.4,6.83,0,104.38,0,0,19.13,408.83,0,3.06,1.08,0,0,5.77,0,0,1.87,0,642.22,0,0,25.7,0,0
 36-46,0,3.91,0,1.74,5.44,11.89,0,0,0,13.44,0,0,2.7,0,0,0,6.57,0,106.43,0,0,67.45,584.89,0,3.21,9.3,0,0,0,0,0,0,0,1094.2,0,0,14.28,0,0
 48-58,0,3.53,0,5.5,0,42.77,0,0,2.05,33.93,0,0,6.57,0,0,0,3.69,0,174.25,0,0.46,75.67,913.26,0,3.75,0,0,0,8.54,0,0,0,0,753.71,0,0,1.58,0,1.88
 60-70,0,6.05,0,16.53,0,137.23,8.67,0,0.91,57.24,2.25,0,15.46,0,0,0.96,2.1,0,246.19,0,0,60.95,1314.73,0,0,1.23,0,2.59,3.74,0,0,0,0,640.72,0,1,2.52,1.25,14.83
 72-82,0,26.24,0,71.45,2.1,247.83,3.24,0,1.63,44.18,9.78,0,9.41,0.94,0,2.18,0.81,2.59,289.82,0,0.56,55.62,1090.55,0,1.29,0,0,0,0,3.31,0,0,0,432.72,2.1,2.38,0.54,1.44,0
 84-94,0,34.51,0,66.5,0,188.95,1.95,0.96,0,35.2,17.08,0,3.69,1.88,0,0.93,9.73,1.22,284.66,0,2.26,46.1,1142.4,0,0,1.97,0,1.53,0,0,0,0,0,284.27,5.35,2.07,11.37,0,0
 96-106,0,12.48,0,59.57,0,124.48,9.61,1.21,2.5,34.54,19.49,0,1.09,0.68,0,0,0.91,0,191.54,0,3.61,52.41,614.79,0,7.57,2.24,0,1.91,1.78,27.66,0,0,0,157.82,0,1.63,2.32,2.85,0.8
108-118,0,27.54,0,11.82,2.82,161.72,4.73,0.68,1.48,61.21,10.34,0,0,0,0.86,0,0.52,0.43,164.69,0,3.8,41.33,750.42,0,0.54,0,0,0,0,0,0,0,0,136.89,1.1,1.31,1.81,3.75,0
120,0,25.35,0,35.41,0,112.15,14.01,1.78,0,26.5,14.16,0,14.77,0,0,0,0,0,232.41,1.65,2.08,21.98,1224.55,5.7,0,4.64,0,0,5.66,0,0,0,0,135.04,2.06,0,9.02,0,0
