stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,10.56,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,43.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68,7.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72,0,0,25.08,0,6.24,0,0,0,0
 14-21,0,0,0,1.44,0,0.84,0,0,6.71,0,0,0,0,0,6.32,0,0,0,0,0,0.95,0,0,0
 24-34,0,0,0,0.71,0,0.83,4.33,0,0,0,0,0,0,0.81,24.45,0,0,0,0,0,14.01,0,0,0
 36-46,0,0,0,7.33,0,0,0,0,0,0,0,0,0,1.87,70.57,0,0.89,0,0,0,17.4,0,0,0
 48-58,0,0,0,21.41,0,4.45,0,0,0,0,3.49,4.82,0.53,0,100.46,0,0,0,0,0,18.66,0,0,0
 60-70,0,0,0,79.21,0,3.24,0,0,0,2.82,0,13.59,0,0,194.66,0,0,0,0,0,7.47,2.55,0,0
 72-82,0,0,1.44,85.88,0.77,6.49,0,1.75,0,0,0,12.03,6.13,0.71,163.83,0,0,0,0,0,25.46,2.34,0,2.45
 84-94,0,0,0,40.62,0,0.92,0,0.56,0,0,0,13.47,2.25,0,131.02,0,0,0,0,0,2.4,3.93,0.77,5.1
 96-106,0,0,0,42.65,0,13.67,0,0.62,0,0,0,16.13,0,0,108.09,0,0,0,0,0,4.28,3.45,2.48,6.09
108-118,0,0,2.76,48.27,0,6.19,2.89,2.22,0,0,0,16.23,0,0,97.54,0,0,0,0.68,0,7.47,3.58,0.65,8.51
120,0,0,0,32.44,0,0,0,0,0,0,0,13.62,0,0,108.09,0,0,0,0,0,0,0,0,18.1
