stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.24,0.81,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,228.23,0,0,0,0,0,0,0,0,109.58,0,0,0,0,0
 24-34,0,8.12,4.12,0,0,22.39,0,0,0,1.99,0,0,0,0,0,0,0,0,0,3.84,0,0,1.65,1442.52,0,36.91,1.28,0,0,13.22,0,0,435.65,0,0,3.67,0,0
 36-46,0,3.53,18.68,0,0,56.01,0,0,0,10.85,0.83,0,0.63,0.94,0,0,0,0,13.11,12.84,0,0,0.75,4256.97,2.73,51.53,4.83,0,0,0.83,0,0.67,932.59,0,0,2.36,0,0
 48-58,0,0.54,17.71,1.19,0,393.57,0.85,0,7.38,69.92,0.46,0,1.49,2.03,0,0,0.48,6.98,7.29,49.68,0,0,7.22,6215.58,3.35,25.2,0,0,0,12.24,0,0,1100.07,0,0,1.58,0,12.11
 60-70,0,0,17.4,0,2.15,857.25,0,3.99,0,89.2,0.66,0,0.84,3.99,0,0,1.02,0,0,44.07,0,0,3.18,8918.99,0,25.39,5.1,0,1.53,17.87,8.68,0,1386.96,0,0,9.87,0,12.1
 72-82,0,4.21,28.78,19.77,0,974.89,0.59,0,7.82,108.8,0.86,0,2.85,2.18,0,9.36,2.22,3.19,0,77.44,0,0,7.23,6637.33,0.56,37.01,5.39,0,0,12.66,1.6,0.55,927.06,0,1.9,13.54,0.59,36.42
 84-94,0,0,35.34,7.22,0,765.48,0.68,1.96,8.01,89.69,1.94,0.99,0,7.78,0.86,8.36,0.69,0,0,44.73,0,0,1.92,4186.13,0,21.73,17.19,0,0,2.33,0,0,507.36,0.9,0,2.76,2.25,9.83
 96-106,0,5.56,23.64,11.21,0,632.38,0,10.09,1.54,92.25,11.91,0,0,2.49,1.18,0,1.62,26.78,5.1,43.35,3.1,0.8,6.19,3432.66,1.89,43.62,6.93,0,0,6.84,0,1.34,308.86,4.41,0,5.01,2.03,0
108-118,0,0,40.64,2.77,4.13,562.37,1.48,0,3.52,94.43,1.08,0,4.11,1.47,1.55,0,1.26,1.12,7.41,54.38,0,0,1.49,4779.83,0.85,25.1,24.44,0,0,5.91,0,0,286.5,2.24,0,0,0,12.33
120,0,0,43.14,0,0,901.81,0,2.29,4.11,208.07,2.91,0,0,17.54,2.99,0,0,0,0,78.57,0,0,32.18,7554.58,3.99,62.96,15.51,0,0,7.49,0,0,291.6,0,0,1.4,0,0
