stage,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pronephros,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0.97,0,1.29,0,0,0,0,1.93,0,0
 24-34,0,0,0,0,0,0,0,5.66,0,0,0,0,0.67,0,0
 36-46,0,0,0,0,0,0,0,13.44,0,0,0,0,0.99,0,0
 48-58,0,0,0.47,0,0,1.51,0,10.86,2.54,0,0,0,2.84,0,0.84
 60-70,0,1.7,0,0,0,4.53,0.83,4.31,0.63,0,0,0.58,6.97,0,0
 72-82,0,0.74,0,0.95,0,23.58,0,4.65,0,0,0,0,1.31,0,0
 84-94,1.35,0,0,0,0,31.2,0,1.01,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,14.41,0,1.72,0,0,0,0.73,0,0,0
108-118,0,0.63,0,0,2.23,31.12,0,0,0,1.58,0.58,0,0,1.35,0
120,0,10.62,0,0,0,17.21,0,0,0,0,0,0,0,0,0
