stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 10-12,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.03,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,6.2,3.83,0,0,0,0
 24-34,0,0,2.64,0,0,0,0,0,0,0,0.78,0,0,0,0.61,0,0.67,2.66,0.9,0,0,0,8.09,2.74,0,2.12,0,0
 36-46,0,0,6.52,0,0.93,0,0,0,0,0,0,0,0,0,0,0,2.94,4.15,0,0,0.83,0,14.54,0.75,0,0,0,0
 48-58,0,0,4.05,0,0.92,0,0,0,0.52,0,0.39,1.72,0,0.79,0,0,0,1.77,0.75,0,0,0,9.1,0,0,0,0,0
 60-70,0,0,0.67,6.28,5.27,1.46,0,0,0.78,0,0,0.72,0,3,1.75,0,0,2.57,0,0,0,0,12.08,0,0,0,0,0
 72-82,0,0,5.95,0.99,0,0.85,0,0,0.9,0,0,0,0,3.89,1.09,0,1.57,3.16,0,0,0,0,3.08,3.55,0,0,0.75,0
 84-94,0,0,9.24,9,3.09,0,0,0,2.1,0,0,0.78,0,3.17,0,0,0,3.99,2.36,0,0,0,16.96,0,0,0,2.34,0
 96-106,0,0,3,2.42,0,0,1.9,0,1.68,0,0,0,0,6.47,0,0,0.8,7.34,0.71,0,0,0.99,24.2,0,0,0,0,0
108-118,0,0,13.47,0,4.41,0,6.63,0,0,0,0.45,0,1.05,18.94,11.34,0,0,7.9,0,3.5,0.42,0,25.07,0,0,0.71,0,0.83
120,0,0,26.19,3.57,8.1,0,1.02,0,3.06,1.48,2.5,0,0,1.39,1.72,11.39,0,0,0,1.11,2.74,0,18.84,0,2.55,0,0,0
