stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,4.06,0,0,13.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,7.85,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,5.28,0,1.01,0,0,0,3.67,0,0,0,0,0,0,7.17,2.44,0,0,0,0,0
 24-34,0,0,1.18,0,0,0.74,0,0,0,1.94,0,0,0,0,0,10.21,0,0,0,0,0,0,7.72,3.34,0.81,0,1.83,0,2.52
 36-46,0,0,0,0,0,1.34,0,0,0,0.88,0,0,0,0,2.6,6.93,0,0,0,0,0,0,0,0,24.86,0,0,0,1.78
 48-58,0,0,0,0,3.4,2.31,0,0,0,0.38,0,0,0.88,0,1.25,19.9,0,0,0,0,0,0,2.04,0,1.43,0,0,0,0
 60-70,0,0,0.97,0,0,3.95,0,0,0.69,0,0,0,1.42,0,0.57,9.93,0.58,0,0,0,1.2,0,1.01,0,1.51,0,0,0,0
 72-82,0,0,0,0,0,2.17,0,0.57,0.87,0,0,0,3.94,0,2.34,5.5,0,0,0,0,0,0,5.44,0,0,0,0,0.64,0
 84-94,0,1.05,0,0,0,7.04,0,0,1.2,0,1.61,0,2.87,0,0,6.77,0,0,0,0,0,0,0,0,0,1.38,0,0,0
 96-106,0,0,0,1.5,4.61,13.99,0,0,0,0,0,0,0,0,0,3.24,0,0,0,1.6,0,0.73,0,0,0,0,0,3.67,0
108-118,0,0,0,0,2.18,2.55,0.5,0,0,0,1.32,0,8.72,1.5,0.59,12.68,0.59,0.66,0,0,0,0,1.66,0,0,0,0,3.39,0
120,0,0,0,0,29.67,2.34,0,0,0,0,0,0,0,0,4.39,12.18,0,0,0,0,3.98,1.97,1.22,0,0,0,0,0,0
