stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,22.66,0,3.36,0,2.65,1,0.85,0,0,0,0,0,0.96,0,0
 24-34,0,0,0.79,0.99,0,0,0,0,0,0,0,0,1.24,0,0,0,20.38,0,4.29,0,1.58,1.06,0,0.82,0,0,0,0,2.25,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.06,0,1.65,0,0,9.35,0,0,0,0,0,0,0.8,0,0
 48-58,0,0,0.37,0,0,0.86,0,0,0,0,0,0.57,0.47,0,0,0,26.68,0,0.44,0,0,5.67,0,0,0,0,0,0,2.55,0,0
 60-70,0,0,0,0.67,0,1.89,0,0,0,0,0,0.95,0,0,0,0,50.36,0,0.89,0,0,1.71,0,0,0,5.74,0,0,0,0,0
 72-82,0,0,0,0.59,0,0.5,0,0,3,0,0,1.05,0,0,0,0,151.45,0,2.99,0,1.22,8.55,0,0,0,0,0,0,0.5,0,0
 84-94,0,0,0,1.62,0,0,1.34,0,0,0,0,3.38,0,0.55,0,0,61.91,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0
 96-106,1.17,0,9.68,25.1,0,37.3,0,0,0,8.34,5.97,0,0.79,6,1.25,1.94,1504.04,0,13.8,0.8,0,145.63,6.35,1.37,11.93,7.75,4.56,1.15,4.17,0.69,3.35
108-118,0,1.71,4.45,10.27,1.62,61,0,0.59,0,11.4,2.87,0,1.65,0.64,0,0,2477.72,7.15,20.58,0,3.57,200.49,0,4.34,12.71,0.64,1.21,0,0,0,2.47
120,0,0,2.27,12.53,0,35.34,0,4.07,0,14.15,1.14,0,5.19,0,0,0,3592.56,0,21.88,0,10.44,227.03,0,0,8.45,0,2.25,0,0,0,0
