stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,xanthophores
  3-4,0,67.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,1.1,1.15,1.18,0,0
 24-34,0,0,0.6,0.66,0,0.71,0.8,0,0,0,0,11.59,0,0.84,0,3.21,0,2.43,0,0,0,0.65,0,0.97,0,1.8
 36-46,0,0,0,2.09,0,0,0,0,0,0,0,1.47,0.77,0,0,21.72,0.71,0.84,0,0,0,0,0,1.73,0,0
 48-58,0,0,0,0.79,0,2.12,0,0.37,0,0,0,7.41,3.57,0,0.58,33.9,0,1.19,0,0,0.56,0,0,4.07,0,0.82
 60-70,0,0,0,0,0,4.86,0,0,0,0,0,0,1.83,0,0,90.17,0,0,0,0,0,0,0,4.23,0,0
 72-82,0,0,0,0.77,0,7.96,0,9.84,0,0,4.02,0,2.82,0,0,130.7,0,0,4.1,0,0,0,0,5.15,0,0
 84-94,0,0,0,0,2.31,18.72,0,22.32,0,1.25,0,0,2.21,0,0,81.86,0,0,5.24,0,0,0,0,0,0.9,0
 96-106,0,0,0,0,0,8.22,0,19.46,0,0,0,0.57,2.62,0,0,134.49,0,0,3.24,0,0,0,0,5.15,0,0
108-118,0,0,0,0.42,2.03,9.37,0,32.61,0.69,0,0,1.87,11.48,0,0,98.8,0,0,7.63,0,0,0,0,0,0,0
120,0,0,0,0,0,34.16,5.02,17.09,0,0,0,0,0,0,0,122.74,0,0,6.43,0,0,0,0,11.26,0,0
