stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.35,84.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.72,78.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.76,0,0,0,0,0,0,0,0,0,0
  7-9,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.96,0,0,6.7,0,0,0,0,0,0,0
 10-12,0,0,20.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.92,0,0,5.15,0,0,0,0,0,0,0
 14-21,0,0,0,4.8,0,0.86,0,0,0,3.46,0.96,0,0,0,0,0,0,0,1.01,0,0,2.34,0,0,1.51,0,0.81,17.56,0,0,0,0
 24-34,0,0,0,0,0,13.54,0,0,0,0,0,0,0,0,0.64,0,0,0,4.83,0,1.24,17.9,0,0,0,8.4,0,67.82,0,0,0,0
 36-46,0,0,0,0,0,180.92,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,12.02,0,0,0,0,0,41.53,0,0,0,0
 48-58,0,0,0,0,0,915.1,0,0,0,2.35,0,0,0,0,0,0.41,0,0,2,0,0,47.22,0.9,0,0,0,0,20.2,0,0,0,0
 60-70,0,0,0,0,0,1911.04,0,0,0,2.4,0,1.75,0,0.65,0,0,0.56,0,5.33,1.14,3.86,41.11,0,0,0,0,0,16,0,0,0,0.9
 72-82,0,0,0,0,0.86,1450.18,1.11,4.04,3.24,5.37,0,0,0,0,0,0,0,0,11.78,5.4,5.22,58.35,1.43,2.26,0,0,0,8.68,0,2.47,0.6,0.6
 84-94,0,0,0,3.93,1.14,1383.73,0,0,0,17.46,0,0,0,0,0,0,0,0,10.07,10.02,1.87,30,0,0,0,1.68,0,9.75,0,3.06,0.8,0
 96-106,0,0,0,0,0,1048.44,0,0,0,13.75,0,0,0.58,0,0,0,0,0.7,13.14,4.97,2.23,26.64,0,0,0,0,0,16.11,0,0,1.23,2.12
108-118,0,0,0,0,0,1113.35,0,0.65,0.73,0.82,1.54,0,0,0,0,0,0.41,0,10.45,17.22,0,37.31,0,1.13,0,0.83,0,1.01,0,0,0,0.49
120,0,0,0,1.27,0,671.57,0,0,0,51.17,0,0,0,0,0,0,8.22,0,5.43,11.53,1.66,73.07,0,0,0,0,0,7.3,2.39,0,0,0
