stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.2,183.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.63,0,0,0,0,0
  5-6,17.02,46.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.59,8.71,0,0,15.75,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,33.07,0,0,0,3.16,0,0,0,0,0,0
 14-21,0,0,0,0.81,1.24,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,1.69,0,0,0,0,0,5.6,0,0,0
 24-34,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,22.79,0.61,0,0,0,11.34,0,0.68,0,0,0
 36-46,0,0,0,0,0,0,2.81,0,0,1.12,0,0,0,0,0,0,0.61,0,0,1.62,0.68,0,30.17,0,0,0,0,23.22,0.62,5.16,0.69,0,0
 48-58,0,0,0,0,0,0,2.26,0,0,1.36,0,0.93,0,0,0,0.46,0,0,0,2.78,3.08,0,20.22,0,4.29,0,0,4.45,0,2.44,0.39,0,0
 60-70,0,0,0,0,0,0,6.7,2.33,0,1.29,3.71,0,0,0.69,0.86,1.71,0,0,0,1.83,0,0,15.53,0,0,1.18,0,3.48,0,4.99,0,0,0
 72-82,0,0,0,0,0,0,18.57,0,0,5.67,46.65,0,0,0,0,4.6,0,0,0,12.47,0,0.51,39.12,0,0,0,0,4.88,0,0,0,0,10.73
 84-94,0,0,0,0,0,0,4.52,0,0,1.64,66.5,0,0,0.84,0,0.63,0,1.66,0,3.73,0,0,21.67,0,0,0,0,18.35,3.69,0,0,0,0
 96-106,0,0,2.68,3.76,0,1.52,19.84,0,4.71,9.55,284.54,1.06,0,3.71,0,1.31,0,65.96,0,8.21,0,0,145.44,0,2.49,0,0,12.95,5.07,0,0,0,0
108-118,0,0,0,3.8,0,3.74,19.83,0,0,2.61,177.32,0,0,0.43,0,2.83,0,54.64,2.99,11.73,0,4.05,64.65,0,2.25,0,0,5.52,4.51,0,0,0.49,0
120,0,0,0,1.39,0,0,2.04,0,0,7.19,71.46,0,2.09,0,0,9.64,0,83.63,0,2.02,0,0,29.01,0,0,0,0,4.58,0,0,2.01,0,0
