stage,epidermis,fin_epithelia,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,periderm,slow_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.28,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.09,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.11,0
 36-46,0,0,0,0,0,0,0,0,1.26,0,0,4.39,0
 48-58,0,0,0.41,0,0,0,0,0,0.68,0,0,2.01,0
 60-70,0,0,0,0,0,0,0,0,0.63,0,0,15,0
 72-82,0,0,0,1.15,0,11.36,0,0,0,0,0,16.98,0
 84-94,0,0,0,0,0,2.77,0,0,4.56,0,0,30.68,0
 96-106,0.76,0,0,8.15,1.25,32.39,0,0,6.91,2.67,9.73,61.7,0
108-118,2.13,0.69,1.41,5.13,1.17,4.76,2.73,1.02,0,0,0,63.57,0.55
120,15.08,1.14,0,7.35,1.65,6.91,0,0,14.74,0,0,27.88,0
