stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.98,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0,22.67,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,0,0,0,5.98,4.4,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,10.97,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,13.8,27.13,0,0,14.58,0,9.73,10.79,0,7.27,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.11,0.98,2.96,0,0,0,0,0,0,2.37,0,0,0,0,1.26,3.88,0,0,11.36,23.76,26.86,0,0,0.96,0,0,0,6.8,0.89,118.76,88.18,12.62,0,3.33,0,0
 24-34,0,0,0,0,0.61,0,4.37,0,0,0,1.19,0,0,5.97,0,0,0,2.18,2.97,11.83,0,0,6.49,163.85,28.9,0.61,1.79,0,0,0.88,0,0,1.42,9.34,27.81,48.24,0,12.06,0,0
 36-46,0,0,0,0,0.69,0,10.77,11.7,1.28,0,1.92,0,0,2.46,0,0,0,0,0,29.01,0,0,4.5,450.05,38.35,0,0,0,0,0.66,0,0,0,0,0,90.06,0,19.91,0,0
 48-58,0,0,0,0,2.62,0,60.28,7.16,0,3.81,16.92,0,0,4.02,0.69,0,0.59,0.41,1.15,69.58,0,1.2,7.02,826.87,37.31,0,0.74,0,0.4,8.18,0,0,0,4.15,0,100.49,1.52,7.25,0,3.49
 60-70,0,0,0.82,0,1.22,0.67,88.86,6.09,0,1.04,12.99,0,0,3.3,0,0,0,0,0,95.36,0,0,10.11,1030.13,19.45,0,1.84,0,0,0,0,0,0,0,0,113.2,0,8.28,0.64,2.68
 72-82,0,0,2.12,0,5.33,4.09,126.07,1.64,0,0.6,11.76,1.34,0,1.43,3.51,0.66,0,0,0,123.97,0,1.7,6.76,1000.82,11.09,0,3.37,0,0,0.54,0,0,0,0,0,77.28,2.81,13.77,5,2.08
 84-94,0,0,0,0,3.14,3.23,65.36,3.47,0,1.02,14.6,1.45,0,4.7,0.59,0,0,0,0,142.37,0,9.26,3.57,616.11,17.92,0,8.27,0,0,9.68,0,0,0,0,0,40.14,3.06,13.73,4.4,0
 96-106,0,0,2.42,1.03,0,16.2,52.84,1.87,0,0,11.74,0,0,9.09,1.35,0,0,6.67,0,90.53,0,3.23,5.24,430.9,8.95,3.28,0.8,0,0,5.59,0,0,1.6,0,0,15.1,1.16,1.11,9.15,0
108-118,0,0,0,0,6.26,0,55.51,4.07,0,0,8.24,1.6,0,6.55,0,0,0,0,0,53.08,1.41,5.98,1.58,614.82,12.84,0,1.91,0,0,0.52,0,0,0,0,0,10.54,1.86,7.18,7.71,2.44
120,0,0,3.9,0,5.34,0,131.05,1.49,0,0,5.56,0,0,0,0,0,0,0,0,39.19,0,0,3.22,742.82,19.98,0,2.11,0,0,0,0,0,0,0,0,35.84,0,13.01,11.69,0
