stage,blastomeres,endoderm,epidermis,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,xanthophores
  3-4,36.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.87,0,0,0,0,0,0,0,0,0,0,19.42,0,5.02,0,0,0,0,0
 10-12,0,64.55,0,0,0,0,0,0,0,0,0,0,49.9,0,15.9,0,0,0,0,0
 14-21,0,0.84,11.27,0,0,26.91,0.92,0,0,0,2.96,0,0,0,0.89,0,0,1.32,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,8.3,2.17,0,0,0,0,1.1,0,0,0
 36-46,0,0,10.72,0,0,0,0.99,7.03,0,0,0,0.72,0,0,0,1.41,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.21,0,0,0.4,0,0,0.52,0,0,0,0.73,0,0
 72-82,0,0,1.19,0,0,0,0,0.57,0,0,1.66,0,0,4.02,0,0,0,0,0,0
 84-94,0,0,0,0.7,5.16,0,0,0,0.75,7.62,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.59,0,0.75,1.61,7.2,0,9.51,0,0,3.08,0.87,0,0,0,0,0,0
108-118,0,0,6.71,0.59,0.87,1.3,0,0,0,23.36,0,0,1.49,0,0,0.46,0,0,1.01,0.53
120,0,0,3.11,0,0,16.26,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0
