stage,endocrine_pancreas,eye,glial,lateral_line,mesenchyme,mural_cell,neural,paraxial_mesoderm,pgc,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,0,3.67,0,0,0
 10-12,0,0,0,0,0,0,0,0,14.56,0,0
 14-21,0,0,0,0,0.91,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.67,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.67,0,0,0,0
 48-58,0,1.75,0,0,0,0,3.64,0,0,0,0
 60-70,0,0.63,0.8,0,0,0,4.9,0,0,0,0
 72-82,0,0.7,2.29,1.56,0.57,0.88,15.07,0,0,0.5,0
 84-94,0.8,2.5,0,0,1.06,0,3.65,0,0,0.97,0
 96-106,0,1.78,0.67,0,0,0,28.47,0,0,0,4.91
108-118,0,1.38,0,0,0,0,29.13,0,0,0,0
120,0,15.9,0,0,0,0,30.42,0,0,0,0
