stage,epidermis,eye,glial,gut,lateral.line,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,14.72,0,0,2.05,0,10.57,0
 24-34,0,5.61,3.1,0,0,1.68,34.2,1.61,0.84,0.73,0,9.55,3.43
 36-46,0,6.31,0,0,0,1.29,31.16,0,0,0,0,0.69,0
 48-58,0,8.29,0,0,0.49,2.07,4.91,0,0,0,0,0.56,0
 60-70,0,6.3,1.7,0,0,0,3.95,0,0,0,0,0,0
 72-82,1.26,2.14,0.57,0,0,2.72,2.13,0,3.3,0,0,0,0
 84-94,0.78,1.41,0.91,0,0,0,4.44,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.79,3.53,0.59,0,0,0,0,0
108-118,0,0.72,2.59,0.67,0,0,5.51,0,0,0,0,0,0
120,0,0,4.54,0,0,0,0,0,0,0,2.39,0,0
