stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.66,0,0,0,11.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.38,0.91,0,1.11,0,0,0,0,0,4.36,0,0,0,0,0,0,0,0,8.99,0,1.02,0,0,0,1.31,0,1.13,0,1.85,0,0,0,0,0
 24-34,0,0,0.6,0,0,0,4.17,0,0,0,0,0,43.47,0,0,0,0,3.09,0,0,0,17.61,0,0,0,0,0,0,0,0,0,1.41,0,0,2.9,0,0.73
 36-46,0,0,0,0,0,0,12.97,0,0,0,0.78,0,89.32,0,0,0,0,2.05,0,0,1.63,20.72,0,0,0,0,0,1.52,0.81,0,2.13,6.63,0,0,17.47,0,0
 48-58,0,0,0,2.85,1.17,0,30.91,0,0,0,2.26,0,140.05,0.39,0.92,0,0,1.13,0,0,0,37.08,0,3.24,0,0,0,0,0,0,0,5.4,0,0,20.89,0,0.6
 60-70,0,0,0,6.08,7.98,0,48.52,0,0,0,117.64,0.8,213.25,0,0,0,0,12.15,0,0,0,94.11,0,0,0,0,0,0,0,0,0.58,1.47,0,0,28.09,0,0
 72-82,0,0,0,37.78,37.68,0,77.45,10.74,0,2.36,680.1,1.45,348.32,0,0,0,0,25.63,0,0,2.1,187.44,0,0,1.89,0,0.71,0,3.31,0,0,1.09,2.71,0.52,67.72,2.46,0
 84-94,0,3.4,0,27.1,31.42,0,100.44,0,0.66,0,797.88,3.21,416.71,0,0,0,0,25.53,0,1.22,0.64,91.63,0,0,0,0,0,3.4,0,0,0,0.85,3.3,0,55.73,0,2.59
 96-106,0,1.19,0,24.74,28.72,0.66,65.49,0,0.61,0,1714.27,8.77,552.47,1.43,2.23,1.58,5.62,49.21,0.68,0,0,159.25,0,1.95,2.65,0,0,8.24,2.06,0,0,0,2.31,2.88,80.92,0,7.45
108-118,0,0.97,0,12.99,49.72,3.75,102.41,0,0.94,0,1660.6,4.02,572.29,0,0,0,0,46.81,0.54,5,1.17,163.49,1.51,0,1.99,0,0,3.88,0,0,10.13,0,4.69,1.26,96.48,1.65,3.24
120,0,0,0,21.21,53.13,0,101.69,0,0,0,1564.93,1.29,665.52,6.07,0,0,1.34,35.09,0,0,2.53,117.76,0,0,2.3,0,0,7.08,0,0,0,10.07,1.12,0,72.68,10.56,0
