stage,eye,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,spinal.cord,vasculature
 24-34,1.43,0,0.63,0,0.68,0,0,0,4.87,0,1.86,0,2.94,0.84
 36-46,2.92,0,1.63,0,0,0,0,0,11.63,0,0,0,0,0
 48-58,3.15,0,0,0,0,0.95,0,0.46,12.69,0,0,0,0.98,0
 60-70,2.29,0,1.28,0,0,8.01,0,0,5.29,0,0,0,0,0
 72-82,8.41,0,0,0,0,0.67,0,0,41.11,0.52,0,0,0,0
 84-94,5.88,1.51,0,2.41,0,4.95,0,0,27.4,0,0,1.25,0,1.07
 96-106,0,0,0,0,0.92,0.64,0,0,0,0,0,0,6.06,0
108-118,3.47,0,0,0,0,0,2.89,0.86,12.5,0,0,0,0,0.48
120,0,0,8.94,0,0,7.49,0,0,0,0,0,0,0,0
