stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.85,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.42,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,38.98,0,12.95,0,0,0,0,0,0
 14-21,0,0,10.07,0,0,0,0,0,0,0,0,0,0,1.72,4.05,22.66,0,0.84,0,0.82,0.81,0.93,2,0
 24-34,0,0,1.2,0,0,0,0,0,1.08,0,1.39,0,0,2.93,1.24,33.54,0,0,0.99,0,0,0,9.23,1.03
 36-46,0,0,2.39,0,1.93,0,0,4.35,0,0,0,1.34,0,3.7,0,11.01,0,0,0,0,0,0,2.34,1.01
 48-58,0,0,1.51,0,4.47,0.6,0.47,0,0,0,0.45,0,0,3.56,0,13.6,0,0,0.49,0,0,0,2.07,0
 60-70,0,0,0.87,0,5.74,0,0,2.06,0,0,0.86,0,0,5.9,0,11.9,0,0,0,0,0,0,1.49,0
 72-82,0,0.56,1.31,0,4.74,0,0,0.58,0,0,1.78,0,0.79,4.06,2.34,9.86,0.96,0,4.3,0,0,0,3.02,0
 84-94,0,0,0,0,0.58,0,0,0.55,0,0,2.08,0,0,1.13,0,3.37,0,0,0.95,0,0,0,2.38,3.81
 96-106,0,0.99,0.69,0,2.89,0,0,0,0.61,0,0.62,3.16,0,0.73,0,4.58,0,0,0,0,0,0,1.8,0.78
108-118,0,0,1.7,0,0,0,0,0,0,0.49,2.59,0,0,2.06,0,6,0.43,0,0,0,0,0,0,0
120,0,0,2.15,0,0,0,0,0,0,0,2,0,0,4.36,0,6.52,0,0,0,0,0,0,0,0
