stage,glial,mesenchyme,pericytes,pronephros,vascular_smooth_muscle
 60-70,0,3.45,0,0,0
 72-82,1.99,7.85,0,0,0.5
 84-94,0,6.28,0,0,0
 96-106,0,5.68,0,0.58,3.17
108-118,0,9.78,9.58,0,5.38
120,0,16.94,0,0,0
