stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.47,199.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.45,519.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.89,49.26,0,115.27,0,14.9,87.57,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0,0,0,0,1437.14,0,0,0,229.89,0,5.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.88,0,16.23,0,0,36.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.99,0,0,0,42.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.77,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,9.5,109.12,0.86,7.19,15.34,0,0,0,0,4.76,0,0,9.25,43.89,0,0,0,0,0
 24-34,0,0,10.72,0,7.38,9.25,12.45,0,0,0,0.89,0,0,0,0,0,0,0,0,0,5.57,0,0,3.89,1478.38,0.65,47.88,25.18,0,0,0.65,0,0,0,0,0,404.3,0,0,0.73,0,0
 36-46,0,0,2.2,0,3.3,0,44.03,0,0,0,3.94,0,0,1.42,1.14,0,0,0,0,0,5.61,0,0,1.3,2937.95,0,62.09,20.3,0,0,0.83,0.81,0,0,0,0,527.27,0,0,1.66,0,0
 48-58,0,0,3.79,0,7.04,0,133.81,0,0,0.72,12.4,0,0,0.54,0,0.38,0,0,0,3.22,21.57,0.5,0,14.4,5135.9,0.94,36.23,11.34,0,0,1.63,0,0,0,0.44,0,570.56,0,0,5.16,0,6.36
 60-70,0,0,5.21,0,9.47,0,782.49,0,0,4.62,11.71,0,0,0,0,0,0,0,0,15.4,11.92,1.14,3.05,0.6,5921.34,0,56.59,11.32,0,0,0.68,0,0,0,0,0,661.78,0,0,0,0,8.31
 72-82,0,0,4.34,0,23.28,3.96,2742.36,1.52,0.68,12.57,82.34,0.63,0,0.58,0.59,0,4.76,0,1.08,3.31,41.44,0,0,2.77,7629.4,3.83,95.38,24.88,0,0,3.61,0,0,0,0,0,499.98,3.65,0.66,9.09,0,2.8
 84-94,0,0,7.86,0,25.06,0,2050.96,0,0,0,69.55,1.01,0,0,0.7,0,0,1.38,3.33,0,31.76,0,0.66,1.57,4079.17,0,62.38,15.59,0,0,0,0,0,0,0,0,255.17,1.9,3.43,4.29,0.57,2.9
 96-106,0,0,11.35,0,29.18,27.77,2654.44,0,0.61,1.62,114.65,4.6,0,7.55,1.52,0,0,2.23,17.5,0,32.49,0,1.76,2.73,4586.79,0.62,122.88,19.44,0,0,1.78,10.6,0,8.25,0,0,179.96,4.48,0,17.6,0.64,13.47
108-118,0,0,9.1,0,16.33,9.23,2075.64,0,0.95,0,65.94,1.46,0,0,0.61,0,1.7,1.19,0,0,30.79,0,1.62,0.45,4834.69,0,81.97,26.42,0,1.23,0,0,0,4.84,0,0,135.62,3.72,1.26,2.85,3.76,0
120,0,0,0,0,59.93,1.1,1208.85,0,0,1.44,108.08,0,0,0,3.38,0,0,0,5.51,0,20.01,11.75,0,3.01,5562.63,0,61.76,4.63,0,6.17,25.37,0,0,3.24,0,0,169.36,0,0,0,4.27,26.81
