stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,5.85,0,4.44,0,0,0,0
 14-21,0.8,0,2.09,0,0,0,0,0,0,0,0,1.72,1.04,0,0,36.21,0,0.84,0,0,1.5,0,8.81,11.9,3.63,0
 24-34,0,2.89,1.28,0,0,4.3,0,0,0,0,0,0,10.78,0,2.05,107.63,0,0,0.77,0,0,0,0,2.95,16.76,0
 36-46,0,1.15,4.53,0,0,8.31,0,0,0,0,0,0,7.61,0,2.21,118.69,0.87,0,0,0,0,0,0,0,18.26,0.9
 48-58,0,0,23.28,0,0,19.4,0,0,0,0.47,0,0,5.44,0,1.99,107.14,0,1.75,0,0,0,0,0,0,4.28,0
 60-70,0,0,22.59,0,0,20.3,0.72,0,0,0,0,0,5.24,0,0.6,37.65,0,0,0,0,0,0,0,0,10.76,0
 72-82,0.69,0,8.42,0,0.94,43.35,0,0.53,0,0,3.85,0,7.63,0,0,37.57,0,2.06,0,0,0,0,0,0,0.56,0
 84-94,0.7,0,8.91,0,0,16.61,0.8,0,0,0,0,0,3.91,0.66,0,15.45,0,2.26,0,0,0,0,0,0,0,0
 96-106,0,0,14.04,0.58,0,46.09,0,0,0.77,1.2,0,0,1.22,0,8.45,38.47,0,0.57,0,0,0,0,0,0,0,0
108-118,0,0,12.38,0.58,0,65.53,0,0,0,2.32,0.6,0,11.35,0,0,33.8,0,1.81,0,0,0,0,0,0,0,0
120,0,0,12.5,0,0,55.54,0,0,0,0,0,0,17.78,0,6.43,67.7,0,1.47,1.97,0,0,0,0,0,0,0
