stage,epidermis,eye,fin_epithelia,glial,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0
 10-12,0,4.67,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0
 14-21,3.05,0,0,1.18,0,0,0,0,0.83,13.36,0,0,0,0,0,1.82,1.97
 24-34,0,0,1.45,0,0,0,0,0,0,5.94,0,0.65,0.68,0,0.95,0,4.71
 36-46,0,8.38,0,0,0,0,0,0,0,17.62,0,0,0,0,0.69,0,12.25
 48-58,0,3.82,0,1.21,0,0.74,0,0,0.52,25.31,0,0,0,0,0,0,3.88
 60-70,0,0.8,0,0,0,0,3.14,0,0,10.48,1.1,0,0,0,0,0,0
 72-82,0,8.78,0,0.89,0,0,2.48,0,0,10.77,0,1.48,1.53,0,0,0,0
 84-94,0,0,0,0,0.56,0,1.8,0,2.7,1.77,0,0,0,0,1.26,0,0
 96-106,0,13.64,0,1.07,0,0,0,0,0,2.4,0,2.32,0,1.33,0.56,0,0
108-118,1.57,6.64,0,1.38,0,0,1.71,0,0,21.61,0,0,0,0,0,0,0
120,6.41,0,0,18.98,0,0,0,3.25,0,35.08,0,0,2.08,0,0,0,0
