stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,somites,spinal_cord
  3-4,13.35,13,0,0,0,0,0,0,0,0,0,0
  5-6,15.43,26.82,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.94,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,19.34,0,0
 14-21,0,0,0,0,0,0,0,5.56,1.09,0,2.79,3.98
 24-34,0,0,0,0,0.97,0,0,0,0,0,0,1.5
 36-46,0,0,0,1.36,0,0,0,5.98,0,0,0,3.57
 48-58,0,0,0.41,2.4,0,0,0,4.67,0,0,0,1.37
 60-70,0,0,0,2.43,0,0.94,0,1.14,0,0,0,0
 72-82,0,0,0,0,0,3.02,0,0,2.88,0,0,0
 84-94,0,0,0,2.65,0,0,0,5.4,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.6,0,0,0
108-118,0,0,0,0,0,0,1.7,1.23,0,0,0,0
