stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.63,1806.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.89,0,0,0,0,0,0,0,0,0,0
  5-6,115.7,1995.27,0,10.71,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,110.62,0,0,0,0,0,50.47,0,0,0,0,0,0,0,0,0,0
  7-9,60.57,137.31,0,102.68,0,0,323.94,0,0,0,0,113.52,0,0,0,0,0,0,0,0,0,0,0,2002.71,61.63,0,0,903.23,0,27.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,86.13,0,72.62,0,20.21,388.01,0,0,0,0,41.69,0,0,0,0,0,3.73,0,0,0,0,0,2724.96,75.93,0,0,943.45,0,15.54,8.56,68.89,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,10.92,88.54,25.41,72.67,0,0,14.68,5.95,13.36,0,0,7.07,0,0,0,0,45,0,0,34.58,841.56,21.27,3.12,7.91,21.73,0,26.21,80.28,1.05,2.48,54.33,211.49,0,0,4.79,0,0
 24-34,0,0,0,3.92,30.25,2.11,171.48,0.62,0.63,23.13,1.64,0,2.47,0,7.51,0,2.49,0.66,0,102.56,1.72,2.42,36.92,960.96,3.6,7.91,18.12,0,0,16.88,0,0.61,0.76,6.22,158.17,0,0,7.5,0,2.36
 36-46,0,0,1.35,0.56,18.27,0,200.4,22.44,2.06,30.67,0.74,0,0,0.56,1.18,2.15,2.05,3.36,0.86,65.42,0,3.35,22.56,472.68,0.72,6.85,4.33,0,0,21.82,0,3.46,0,0,87.87,0,0,8.57,0,0
 48-58,0,0,0,0,17.65,3.18,230.99,4.02,2.57,27.35,0.37,0,3.72,4.38,5.11,0.79,1.35,1.02,0,75.37,0,3.45,25.12,230.89,0.39,4.81,13.79,0,0,8.18,0,0,0.73,0,29.57,0,0.37,4.92,0,0
 60-70,0,0,0,0,14.07,4.87,139.57,1.55,1.19,37.64,3.58,0,0,0,0.77,0,0.67,3.15,0,71.75,0,1.84,16.57,101.76,0.73,1.08,0.65,0,1.55,5.27,0,2.46,0,0,9.87,0,0,6.26,2.04,6.34
 72-82,0,0,0,0,5.17,2.42,39.84,0,5.78,16.14,3,0,0.87,3.64,0.93,5.59,0.49,5.35,0,62.15,0.58,7.48,11.09,89.42,0,1.78,1.32,0,2.25,7.62,0,0,0,0,2.79,0,0,14.8,0,0
 84-94,0,0,1.04,0,9.14,2.07,65.5,0.97,0,20.41,5.11,0,0,2,2.83,0,0,6.8,0,71.33,0,11.68,13.58,77.95,1.11,0.69,2.07,0,0,10.84,0,0,0,0,0.79,1.17,0,9.18,1.74,0
 96-106,0,0,0,0,21.3,17.13,46.58,0,11.42,37.08,5.69,0,1.94,4.7,2.89,0,1.4,8.22,0,76.67,0,5.25,8.95,45.3,1.2,0.59,3,0,0,18.62,0,1.75,0,0,0,2.13,0,8.36,2.17,4.07
108-118,0,0,0,0.74,20.27,8.92,59.63,1.1,8.19,38.37,3.51,0,0,5.24,2.04,0,2.08,12.03,0,71.59,0,3.32,14.59,109.16,0.71,5.79,3.56,0,0.95,8.89,0,2.72,0,0,0.57,1.09,0,9.52,1.93,0
120,0,0,0,0,26.84,8.61,61.95,1.75,4.18,41.43,2.22,0,6.79,27.32,0,4.11,0,18.8,0,99.43,0,0,15,127.47,0,4.24,8.76,0,0,13.52,0,2.9,0,0,0,0,0,6.32,0,0
