stage,epidermis,eye,heart,immune,mesenchyme,mural.cell,muscle,neural,otic,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.73,0,0,0,0,0.98,0,0.77
 36-46,0,0,1.77,2.23,2.18,0,0,0,0,1.06,0,0
 48-58,0,1,1.06,4.17,0.83,0,0.43,0,0.43,2.23,0,1.32
 60-70,0,0,0,4.57,8.55,0,0,0,0,2.15,0,0.93
 72-82,0,0.9,1.97,1.28,7.37,0,0,0,0,3.53,0.94,1.87
 84-94,0,0,0,8.59,5.78,0,0.85,0,0,2.73,0,2.65
 96-106,0,0,0,14.85,10.77,0,0,1.09,0,5.08,0,0
108-118,0.45,0,0,16.94,18.06,1.81,0,0.51,0,4.08,0,3.87
120,0,0,4.47,9.3,23.02,0,0,0,0,0,0,0
