stage,eye,mesenchyme,neural,spinal.cord
 14-21,0,0,1.04,0
 24-34,0,0,0,0.83
 36-46,0,0,7.17,0.85
 48-58,0.38,0,0.77,0
 96-106,0,5.3,0,0
