stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pgc,somites,spinal_cord,taste,xanthophores
  3-4,33.19,223.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0
  5-6,21.5,130,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0,0,0,0,11.9,0,0,0,0
 14-21,0,0,0,55.82,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,1.1,0,0,0
 24-34,0,0,0,113.48,0,11.01,0,0,0,0,0,0,0.85,8.32,0.67,3.7,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,99.5,0.67,9.32,0,0,0,0,0,0,0,0.58,0,1.83,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,112.92,10.79,35.14,0,2.45,0,0,0,0,0.65,0.38,0,19.58,0,0,0,0.81,0,0,1.65,0,2.3
 60-70,0,0,0,123.5,4.99,26.63,0.84,2.34,0,0,0,0,0,1.49,0,9.47,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,86.07,7.04,33.7,0,0,0,0,0,0,4.69,1.2,0,11.85,1.14,0,0,1.7,0,0,2.84,0,0
 84-94,0,0,0,226.65,2.84,59.13,0,1.7,0,0,0.68,0,4.26,0.68,0,7.61,0.61,0,0,1.41,0,0,0,1.87,0
 96-106,0,0,0,238.16,20.83,72.4,0,1.24,0.62,0,0.99,0.77,3.49,3,0,22.01,1.66,0,0,1.19,0,0,0,0,7.24
108-118,0,0,2.35,273.84,3.03,103.33,1.87,2.21,5.04,0.42,0,0,5.51,1.36,0.57,16.02,1.76,0,1.82,3.81,0,0,0,1.11,0
120,0,0,0,196.22,14.86,52.05,5.27,0,0,0,0,0,4.24,3.3,0,30.38,0,1.8,0,0,0,0,0,0,0
