stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,11.6,169.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.52,0,0,0,0,0
  5-6,0,134.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990.51,0,0,0,0,0
  7-9,0,0,0,0,0,0,20.83,0,0,14.23,0,0,0,0,0,0,0,141.13,12.16,20.89,686.83,0,0,0,0,0
 10-12,0,0,5.91,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,98.21,3.27,46.76,176.56,0,0,0,0,0
 14-21,0,0,0,3.31,0,0,0,0,0,0,0,0.8,0,0,0,0,0,14.59,0,0,167.18,0,0,0,0.99,0
 24-34,0,0,0,1.42,0,0,0,0,0,0,0.97,1.73,1.99,0,0,9.79,0,39.37,0,0,111.79,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.85,2.26,0,0,12.32,0,0,0,1.33,10.62,2.02,125.67,0,0,68.72,0,1.86,0,0,0
 48-58,0,0,0,3.4,0,0,2.97,0,0,0,8.76,0,0,0,1.68,5.32,0.38,34.7,0,0,24.8,0,1.04,0,0,0.89
 60-70,0,0,0,1.72,0,0,4.01,0,9.56,0,13.84,0,0,0,0,8.08,0,9.92,0,0,7.27,0,0,0,0,0
 72-82,0,0,0,4.55,0,0,0,0,0.84,0,18.95,7.99,0,0,3.39,14.1,0.66,18.29,0,0,2.52,0,0,1.01,0,0
 84-94,0,0,0,6.64,0,0,7.9,0,1.85,0,29.69,0.83,0.78,0,0,13.9,0,40.75,0,0,26.39,0,0,0.82,0,0
 96-106,0,0,2.3,14.22,1.52,4.27,13.41,0,7.56,0,17.09,2.4,0,0,0,25.05,0,26.2,0,0,20.99,0,0,2.46,0,0
108-118,0,0,2.18,24.82,0,0.82,0,0.7,12.73,0,25.63,2.22,0,2.33,0,52.61,0,3,0,0,12.6,0.42,0,3.45,0,0
120,0,0,2.93,64.69,0,0,0,2.14,12.23,0,35.44,2.78,0,0,0,5.08,0,22.48,0,0,27.38,0,2.39,8.7,0,0
