stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.05,0,0,7.83,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,23.45,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.05,3.42,0,0,0,0,0,0,0,0,2.35,0,0,1.52,14.43,1.81,0,0,0,0,5.23,1.32,0,0,11.62,58.63,0,0,0,0,2.62
 24-34,0,1.69,0,2.1,0,1.86,0,0.71,1.57,0,0,1.33,0,0,0,0,0,0,18.81,0,0,4.54,141.45,0,10.67,0,0,0,75.64,0,0,0,0,128.08,0,0,0,0,0
 36-46,0,0,0,1.32,0,15.3,0,3.51,0,0,0,0,0,0,0,1,0,0,39.59,0,0,0.62,362.14,1.43,10.54,3.07,0,0,72.25,0,0,4.56,0,169.08,0,0,0,0,11.36
 48-58,0,0,0,3.43,0,79.1,0,9.39,11.43,0,0,0.87,0,0.65,0,0,0,0,59.99,0,0,6.52,425.37,0,16.68,1.11,0,0,37.65,0,0,1.59,0,80.17,0,0,0,0,0
 60-70,0,0,0,4.67,0,389.93,0,41.4,4.35,4.15,0,0.78,0.98,2.67,0.66,1.59,0,0.93,133.4,0,0,7.49,497.11,0,4.11,5.18,0,0,38.45,0,0,2.23,0,51.96,0,3.31,0.84,0,10.27
 72-82,0,2.23,0,5.16,0.6,646.89,2.2,35.12,10.25,0,0,0,1.94,1.44,0,5,0,0,172.25,0,6.61,10.71,784.7,0,11.4,6.96,0,0,17.51,0,0,0,0,54.82,0.62,0,1,0,0
 84-94,0,0,0,18.46,0,549.86,0.87,20.52,12.3,1.45,0,0,7.53,3.96,2.64,0.6,0,0,138.05,1.05,2.51,1.76,641.83,0,36.37,5.74,0,4.17,98.19,0,0,0,0,60.74,3.88,0,0,2.23,0
 96-106,0,1.14,0,9.78,2.22,788.9,0.56,24.68,29.17,1.06,0,0,8.34,1.48,0,6.53,1.56,3.42,185,0,0.58,2.01,648.65,0,52.61,12.12,1.2,8.06,86.18,0,0,8.34,0,10.82,7.67,2.33,9.77,0.68,0
108-118,0,3.62,0.74,29.45,0,658.06,2.26,34.85,28.52,1.46,0,0.71,8.66,2.85,5.18,5.51,7.91,0,170.8,0.77,8.1,7.28,592.46,0,32.22,11.77,0,6.58,48.56,0,0,1.02,0,22.94,6.73,0.69,0,0,0
120,0,0,0,25.14,0,350.65,5.84,34.71,83.91,0,0,0,23.42,0,0,4.44,0,0,196.61,0,0,15.83,883.99,0,42.67,2.92,0,24.15,33.26,0,1.94,0,0,56.28,1.22,0,1.23,10.67,0
