stage,epidermis,eye,glial,mesenchyme,neural,periderm,spinal_cord,vasculature
 48-58,0,0.52,0,0,0,0.37,6.38,0
 72-82,0,0,1.13,1.54,0,0,0,0
 84-94,0,0,0,0,0,0.66,0,0
 96-106,0,0,0,0,2.29,0,0,2.32
108-118,0.45,0,0,0,0,0,0,0
