stage,blastomeres,epidermis,eye,gut,mesenchyme,neural,pronephros
  5-6,11.33,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7
 60-70,0,0,0,1.94,0,0,0
 72-82,0,0,0,2.66,0,3.08,0
 84-94,0,0,0,35.77,16.94,0,0
 96-106,0,0,0.57,70.25,5.39,6.15,0
108-118,0,0,0,82.78,0,4.41,0
120,0,7.08,0,102.18,7,16.39,0
