stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm,spinal.cord
  3-4,13.86,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.75,0,2.38,1.18
 24-34,0,0.97,0,0,0,0,16.71,0,0,0.67
 36-46,0,0,0,0,0,0,29.4,0,0,4.27
 48-58,0,0,0,0.79,0,0.38,74.14,0,0,9.31
 60-70,0,0.57,0,11.71,0,0,59.59,0,0,7.38
 72-82,0,0,0,11.15,0,0,55.6,0,0,7.26
 84-94,0,0,1.1,12.24,2.26,0,31.88,0,0,6.73
 96-106,0,0,0,0,0,1.87,32.14,1.87,0,0
108-118,0,0.91,0,3.6,0,0,30.02,0,0,0
120,0,0,0,5.24,0,0,45.21,0,0,9.58
