stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle
  7-9,0,0,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.94,0,0,0,0,0,0,0,0,0,21.19,0,0,0,0,0,0,0
 14-21,1.41,0,0,0,0,0,0,0,0,0,1.14,0,5.15,0,0,0,2.72,1.03,0,0
 24-34,0,0,1.99,0,0,0,2.19,0,0,0,0.86,6.74,2.12,1.58,0,0,1.7,1.96,0,0
 36-46,0,0,0,0,0,1.18,0,0,2.27,0,5.07,2.7,2.11,2.12,0,0,0,1.98,0,0
 48-58,0,0,0,0,0,2.99,1,0,0,0,10.57,15.2,0.48,0,0,0,0,0,0,0
 60-70,0,0,0.83,0.63,0,0,0,0,0,0,27.22,6.97,0,0,0,0,0,0,0,0
 72-82,0,0,6.43,0.55,0,7.83,4.68,0,0,0.49,99.15,4.74,2.76,0,0,0,0,0,0,1.98
 84-94,0,0,0.75,0,0,1.27,1.04,0,0,0,49.8,15.24,0.84,0.75,0,0,0,0,0,0
 96-106,0,0,5.98,0,0,0,6.39,1.24,0,0,124.14,9.25,1.63,0,0,0,0,0,0,0
108-118,0,0.5,1.28,0.93,0,0,3.02,0,0,0,104.67,8.61,14.73,0,1.04,0.42,0,0,0,0
120,0,0,6.76,0,2.75,0,0,0,0,0,83.7,11.26,2.55,0,0,0,0,0,2.31,0
